oiii_hbeta_ratio,hbeta_hgamma_ratio,oiii_hgamma_ratio,h_beta_eqw,h_beta_flux,z,e_bv_sfd
0.2134766,2.031401,0.4336566,-19.68156,3967.237,0.1548114,0.01640413
0.1661138,2.44206,0.4056597,-30.15136,3421.211,0.1395377,0.03154486
0.7648842,1.28195,0.9805437,-6.315646,1328.481,0.1568366,0.04993869
1.305828,0.7231506,0.9443101,-0.394253,33.56794,0.05919914,0.03877603
0.642544,2.033772,1.306788,-28.08086,3685.079,0.05026412,0.06889841
0.6052293,1.883369,1.13987,-8.880097,686.9014,0.1444477,0.02831765
0.8090133,1.106638,0.8952849,-0.6261827,51.77808,0.05681,0.02510186
0.8140226,1.346157,1.095802,-5.502056,503.3342,0.1516362,0.03367133
0.6838572,1.749313,1.19628,-9.266861,1434.56,0.1756542,0.02661542
0.230475,2.171605,0.5005008,-25.66527,2319.595,0.08044197,0.02060772
0.4174479,2.10458,0.8785526,-13.21841,832.4188,0.2201104,0.06144398
0.880696,1.888738,1.663404,-17.19365,2203.247,0.07723631,0.03000705
1.216287,1.562278,1.900179,-0.1742419,11.72359,0.08162035,0.02570347
1.205106,1.957225,2.358663,-9.82467,1217.897,0.2688896,0.02380977
0.4132285,2.033846,0.8404432,-13.14289,2292.539,0.1346648,0.05099057
0.2777563,2.453447,0.6814605,-18.49032,4131.215,0.1965366,0.02233633
0.6273425,1.076613,0.6754051,-0.6243421,51.18768,0.05502648,0.01821248
1.28257,2.374651,3.045658,-20.472,2322.049,0.0563294,0.0146779
0.8385926,2.109372,1.768904,-22.88305,3397.969,0.05014781,0.02880776
0.4123738,1.908711,0.7871025,-18.73977,2150.045,0.05897063,0.02191551
0.5015432,1.797772,0.9016601,-13.28217,2033.969,0.0863796,0.01130901
1.166074,1.827619,2.131139,-13.55527,4630.266,0.153836,0.03453428
1.465687,15.78922,23.14205,-0.2575647,21.2979,0.06568477,0.03171784
0.6722247,2.606258,1.751991,-28.1305,3610.479,0.08366632,0.03013047
0.559593,2.010858,1.125262,-12.63087,2925.605,0.08017637,0.06504875
0.1576048,2.475892,0.3902123,-17.37642,1758.446,0.2688824,0.05115553
0.6073617,2.461461,1.494997,-20.80499,8040.256,0.07885244,0.01104522
0.7112553,2.642485,1.879482,-10.94744,1590.3,0.09262062,0.04385718
1.050813,1.178051,1.237911,-0.5627213,44.56004,0.0614777,0.02805919
