oiii_5007_flux,nii_6584_flux,h_beta_flux,h_alpha_flux,oiii_hbeta_ratio,nii_halpha_ratio,class,subclass
373.0042,1784.927,434.1843,1785.013,0.8590919,0.9999513,GALAXY,STARFORMING
478.0686,7663.177,2424.668,12356.05,0.1971687,0.6201966,GALAXY,STARBURST
85.76681,355.5422,48.0264,289.6452,1.785826,1.227509,GALAXY,
77.36827,444.0481,133.1039,677.5945,0.5812623,0.6553302,GALAXY,STARFORMING
116.9357,392.2331,45.45727,187.1837,2.57243,2.095444,GALAXY,BROADLINE
67.62151,201.4591,39.88143,161.1562,1.695564,1.250086,GALAXY,
6863.945,16486.71,8340.336,164078.1,0.8229818,0.1004808,GALAXY,STARBURST
155.4445,242.2809,77.28137,202.3219,2.01141,1.197502,GALAXY,BROADLINE
4662.001,766.4092,2019.77,6348.095,2.308184,0.1207306,GALAXY,STARBURST
52.71618,281.6805,108.1283,539.2323,0.4875335,0.5223732,GALAXY,BROADLINE
123.3203,249.4008,63.71803,185.8449,1.935407,1.341984,GALAXY,
141.2283,321.8531,88.41828,276.3123,1.597275,1.164816,GALAXY,BROADLINE
201.5748,450.8914,206.0101,662.5453,0.9784706,0.6805443,GALAXY,AGN BROADLINE
145.0347,190.2814,55.69787,253.9137,2.603955,0.7493938,GALAXY,
103.2959,248.8441,132.2756,545.1429,0.7809142,0.456475,GALAXY,STARFORMING
179.4148,322.5274,66.13549,195.8789,2.712836,1.646565,GALAXY,BROADLINE
34.57538,244.7312,107.2656,569.126,0.3223343,0.4300123,GALAXY,STARFORMING
2177.013,9547.86,6676.039,24878.14,0.3260935,0.3837851,GALAXY,STARBURST
1271.243,2882.77,1636.342,6149.114,0.7768807,0.4688106,GALAXY,STARBURST
14803.74,1302.108,4171.77,14603.09,3.548551,0.08916661,GALAXY,STARBURST
961.3674,5967.541,2898.773,12253.38,0.3316464,0.4870116,GALAXY,STARBURST
143.7628,2078.238,1259.272,5752.388,0.1141635,0.3612826,GALAXY,STARFORMING
1210.058,3413.577,2189.936,6989.356,0.5525541,0.4883965,GALAXY,STARFORMING
35.53726,81.15689,25.52647,71.53404,1.392173,1.134521,GALAXY,BROADLINE
71.22566,276.9063,114.3835,345.9566,0.6226916,0.8004076,GALAXY,STARFORMING BROADLINE
50.58071,248.5654,76.73728,323.3768,0.6591412,0.7686558,GALAXY,BROADLINE
85.07539,191.6503,54.70678,156.6076,1.555116,1.223762,GALAXY,AGN BROADLINE
80.14186,142.0237,51.2449,119.0334,1.563899,1.193141,GALAXY,BROADLINE
322.9424,952.0886,273.2791,1393.726,1.181731,0.6831246,GALAXY,STARFORMING
41.67574,153.0956,94.03584,314.4588,0.4431899,0.4868542,GALAXY,STARFORMING
51.85497,104.0426,36.20171,125.0323,1.43239,0.8321257,GALAXY,BROADLINE
173.5253,3133.535,1019.062,4204.322,0.1702794,0.7453129,GALAXY,STARBURST
736.9949,792.3568,772.2027,2895.579,0.954406,0.2736437,GALAXY,STARBURST
583.4297,1083.899,338.0573,1279.977,1.725831,0.8468115,GALAXY,AGN
41.32278,239.3056,50.71491,317.5425,0.8148054,0.7536174,GALAXY,BROADLINE
274.8371,371.7639,191.8363,536.1171,1.432665,0.6934378,GALAXY,AGN BROADLINE
102.5857,413.7291,108.9401,582.6293,0.941671,0.7101068,GALAXY,BROADLINE
570.2411,541.8184,116.9107,439.5366,4.877577,1.232704,GALAXY,
164.0984,216.8859,84.0078,228.567,1.953371,0.9488944,GALAXY,
63.30166,196.1835,100.6122,207.4299,0.6291651,0.9457825,GALAXY,BROADLINE
37.13248,91.36058,31.96688,88.71162,1.161592,1.02986,GALAXY,BROADLINE
240.483,1365.508,395.9485,1467.31,0.6073593,0.9306201,GALAXY,STARFORMING
75.94299,450.9983,116.3211,427.9624,0.6528735,1.053827,GALAXY,STARFORMING
49.38637,122.4662,29.8757,113.8996,1.653061,1.075212,GALAXY,BROADLINE
73.94783,403.2687,91.67425,536.8188,0.8066369,0.7512194,GALAXY,AGN
47.51338,285.7814,104.6673,456.9527,0.4539466,0.6254071,GALAXY,BROADLINE
44.89263,146.7658,79.70309,197.6471,0.5632483,0.7425649,GALAXY,BROADLINE
40.61372,62.81833,21.04591,62.98951,1.929768,0.9972824,GALAXY,BROADLINE
87.45499,316.6233,38.51067,188.103,2.270929,1.683244,GALAXY,BROADLINE
41.38725,91.13499,41.11842,111.9505,1.006538,0.8140647,GALAXY,
102.8358,404.612,162.1257,555.7126,0.6342968,0.7280958,GALAXY,AGN BROADLINE
110.6979,1293.396,658.7897,2933.444,0.1680322,0.4409137,GALAXY,STARBURST
87.94145,200.7354,44.57708,164.4708,1.972795,1.220492,GALAXY,
237.6495,1717.963,252.3057,1606.07,0.9419109,1.069669,GALAXY,AGN
145.5356,177.0869,71.17275,197.6694,2.044822,0.8958739,GALAXY,BROADLINE
782.5197,655.5192,743.0601,2808.334,1.053104,0.2334193,GALAXY,STARFORMING
3823.379,2141.056,811.241,3142.346,4.713001,0.681356,GALAXY,AGN
508.5398,1545.731,942.5247,4642.195,0.5395506,0.3329742,GALAXY,STARBURST
47.19717,145.9844,58.07232,231.8428,0.8127309,0.6296697,GALAXY,BROADLINE
101.4318,641.1528,263.4741,1088.59,0.3849782,0.5889753,GALAXY,STARFORMING BROADLINE
4133.134,6907.328,3754.218,16633.67,1.100931,0.4152619,GALAXY,STARBURST
226.6759,356.4591,93.03514,289.9238,2.436454,1.229493,GALAXY,BROADLINE
130.6564,436.6714,85.61443,263.0497,1.526103,1.660034,GALAXY,BROADLINE
53.40701,159.3333,26.0278,125.3575,2.051922,1.271031,GALAXY,
158.3275,395.7206,60.84628,236.7975,2.60209,1.671134,GALAXY,BROADLINE
89.25125,42.46384,22.78214,47.67188,3.917597,0.8907523,GALAXY,BROADLINE
108.0444,120.3634,77.4583,113.1519,1.394872,1.063733,GALAXY,
4497.978,594.0681,830.3254,2613.398,5.417126,0.2273163,GALAXY,STARFORMING
49.02039,88.33646,30.35538,85.30647,1.614883,1.035519,GALAXY,
75.49704,192.9624,44.34372,137.1607,1.702542,1.406834,GALAXY,BROADLINE
161.6243,340.0758,54.38554,260.5184,2.971826,1.305381,GALAXY,BROADLINE
161.9444,279.7395,73.57055,220.337,2.201212,1.269598,GALAXY,BROADLINE
105.9821,301.6192,58.14252,180.6384,1.822799,1.669741,GALAXY,BROADLINE
61.01204,427.5466,145.8181,838.1998,0.418412,0.5100772,GALAXY,STARFORMING
106.8847,398.0862,86.50205,318.1252,1.235632,1.251351,GALAXY,AGN
73.63195,163.5085,46.78571,135.7106,1.573813,1.204832,GALAXY,BROADLINE
86.70879,269.4178,52.2738,170.908,1.658743,1.576391,GALAXY,BROADLINE
63.36956,78.99485,39.62777,81.65417,1.59912,0.967432,GALAXY,
2322.263,6562.333,2452.829,11302.42,0.9467694,0.5806131,GALAXY,STARBURST
697.5121,4053.742,1368.104,7515.619,0.5098385,0.5393757,GALAXY,STARBURST
149.2708,4741.003,832.6299,7764.896,0.1792763,0.6105688,GALAXY,STARBURST
277.4959,326.3254,90.22186,351.6455,3.075706,0.9279952,GALAXY,AGN
126.7982,90.12407,29.01049,68.31363,4.370771,1.319269,GALAXY,BROADLINE
88.57294,361.4651,78.22061,287.6976,1.132348,1.256407,GALAXY,AGN BROADLINE
86.02824,89.62,40.26621,80.17516,2.136487,1.117803,GALAXY,BROADLINE
98.09519,111.2692,32.13317,88.84267,3.05277,1.25243,GALAXY,BROADLINE
