#Table1
w1mpro,w2mpro,w3mpro,w1_w2_color,w2_w3_color,oiii_hbeta_ratio,nii_halpha_ratio,class,subclass
11.468,11.488,8.877,-0.0199995,2.611,3.484373,0.3526653,GALAXY,STARFORMING
12.42,12.334,8.878,0.08600044,3.455999,0.2683355,0.3326814,GALAXY,STARFORMING
12.278,12.231,8.879,0.04699993,3.352,0.4475047,0.4670889,GALAXY,STARFORMING
11.658,11.64,8.881,0.01799965,2.759001,1.568601,0.6808864,GALAXY,AGN
11.044,11.092,10.447,-0.04800034,0.6450005,2.741456,0.8628383,GALAXY,BROADLINE
11.705,11.765,10.448,-0.06000042,1.317,1.437184,1.130079,GALAXY,BROADLINE
11.391,11.46,10.449,-0.06900024,1.011,1.653061,1.075212,GALAXY,BROADLINE
10.959,11.035,10.449,-0.07600021,0.5859995,1.244938,0.9969701,GALAXY,AGN BROADLINE
11.87,12.012,10.45,-0.1420002,1.562,1.946816,1.564911,GALAXY,BROADLINE
11.657,11.73,10.451,-0.07299995,1.278999,0.6823714,0.7223846,GALAXY,
13.553,13.457,10.452,0.09600067,3.005,0.9983782,0.25736,GALAXY,STARFORMING
11.213,11.308,10.455,-0.09499931,0.8529997,1.42151,0.7572171,GALAXY,AGN BROADLINE
12.072,12.066,10.455,0.005999565,1.611,11.8056,1.56249,GALAXY,BROADLINE
11.353,11.405,10.455,-0.05200005,0.9499998,1.533507,0.9570922,GALAXY,BROADLINE
11.007,11.074,10.457,-0.06700039,0.6170006,1.259685,0.4546769,GALAXY,
11.683,11.793,11.004,-0.1100006,0.7890005,2.024871,1.195238,GALAXY,BROADLINE
11.405,11.433,9.92,-0.02799988,1.513,2.392735,1.673131,GALAXY,BROADLINE
11.236,11.313,9.921,-0.07699966,1.392,0.5681736,1.121851,GALAXY,BROADLINE
11.06,11.127,9.926,-0.06699944,1.201,1.852817,1.02921,GALAXY,BROADLINE
10.939,10.996,9.927,-0.05700016,1.069,2.079902,0.9002283,GALAXY,BROADLINE
11.366,11.424,9.928,-0.05799961,1.495999,0.6287368,0.6519744,GALAXY,BROADLINE
12.111,12.191,9.93,-0.07999992,2.261,0.9222214,0.8300038,GALAXY,STARFORMING
10.711,10.783,9.93,-0.07199955,0.8529997,1.658997,1.23411,GALAXY,BROADLINE
11.183,11.273,9.931,-0.09000015,1.342,1.702542,1.406834,GALAXY,BROADLINE
11.317,11.469,10.896,-0.1519995,0.573,1.587186,0.9621261,GALAXY,BROADLINE
11.6,11.676,10.9,-0.07599926,0.776,1.469312,1.549497,GALAXY,BROADLINE
13.299,13.16,9.72,0.1389999,3.44,4.110496,0.07172322,GALAXY,STARBURST
12.159,12.144,9.721,0.01500034,2.423,8.783524,1.10635,GALAXY,AGN
11.49,11.549,9.725,-0.05900002,1.823999,1.852719,0.8600237,GALAXY,AGN
10.992,11.062,9.727,-0.07000065,1.335,1.703908,1.302145,GALAXY,BROADLINE
10.657,10.723,9.733,-0.06599998,0.9899998,1.930982,1.698425,GALAXY,BROADLINE
11.872,11.91,11.083,-0.03800011,0.8269997,1.544655,0.9368646,GALAXY,BROADLINE
12.584,12.601,11.495,-0.0170002,1.106,1.361134,0.9355433,GALAXY,BROADLINE
13.027,13.031,12.517,-0.00399971,0.5139999,5.847978,2.152401,GALAXY,BROADLINE
13.307,13.223,12.548,0.08400059,0.6749992,1.874455,1.35534,GALAXY,BROADLINE
11.712,11.737,9.704,-0.02500057,2.033,1.991774,1.472723,GALAXY,BROADLINE
11.065,11.182,9.671,-0.1170006,1.511001,0.7435558,0.9589468,GALAXY,BROADLINE
12.077,12.129,9.679,-0.05200005,2.45,0.7827783,0.7234158,GALAXY,AGN
13.263,13.203,9.684,0.05999947,3.519,4.110496,0.07172322,GALAXY,STARBURST
10.813,10.908,9.684,-0.09500027,1.224,2.161661,1.51635,GALAXY,BROADLINE
12.117,12.127,9.688,-0.01000023,2.439,3.744342,1.11858,GALAXY,AGN
11.319,11.422,9.693,-0.1029997,1.729,1.277988,0.539858,GALAXY,STARFORMING BROADLINE
11.149,11.168,9.695,-0.01900005,1.473001,2.325571,1.627925,GALAXY,BROADLINE
11.368,11.441,10.624,-0.07299995,0.8170004,1.433103,1.017359,GALAXY,
12.653,12.638,10.625,0.01500034,2.013,2.617543,0.8416724,GALAXY,BROADLINE
11.904,11.895,10.629,0.008999825,1.266001,2.045252,0.7958833,GALAXY,AGN
11.056,11.144,10.633,-0.0880003,0.5109997,1.918212,0.9207664,GALAXY,BROADLINE
14.369,14.34,11.5,0.02900028,2.84,1.447325,0.2048007,GALAXY,STARFORMING
11.32,11.381,9.372,-0.06099987,2.009,1.514028,1.657022,GALAXY,BROADLINE
12.077,12.08,9.385,-0.003000259,2.695,5.417126,0.2273163,GALAXY,STARFORMING
11.699,11.701,9.386,-0.001999855,2.315001,3.190016,1.318929,GALAXY,BROADLINE
10.58,10.606,9.387,-0.02600002,1.219,2.351922,1.436794,GALAXY,AGN BROADLINE
10.524,10.564,9.39,-0.03999996,1.174,2.733449,1.673102,GALAXY,BROADLINE
11.496,11.504,9.391,-0.00799942,2.113,0.682722,0.6972175,GALAXY,BROADLINE
11.253,11.328,10.725,-0.07499981,0.6029997,4.941685,0.7477184,GALAXY,BROADLINE
11.659,11.735,10.733,-0.07599926,1.002,1.554977,1.011749,GALAXY,BROADLINE
12.261,12.376,11.292,-0.1150007,1.084001,1.651677,0.7932346,GALAXY,
12.682,12.558,11.293,0.1240005,1.264999,1.491131,1.623726,GALAXY,BROADLINE
11.828,11.897,11.295,-0.06900024,0.6020002,1.984635,1.395293,GALAXY,
12.025,11.972,11.295,0.0529995,0.677,1.491131,1.623726,GALAXY,BROADLINE
12.052,12.137,11.298,-0.08500004,0.8389997,3.906698,1.258642,GALAXY,
12.327,12.369,11.299,-0.04200077,1.070001,2.731336,0.4767799,GALAXY,AGN BROADLINE
13.359,13.267,11.564,0.09200001,1.703,1.693514,1.691106,GALAXY,BROADLINE
11.307,11.412,9.118,-0.1049995,2.294,1.193274,0.8631858,GALAXY,AGN BROADLINE
11.744,11.743,9.126,0.001000404,2.617,2.41811,1.229363,GALAXY,BROADLINE
12.463,12.445,9.136,0.0180006,3.309,2.216893,0.09832805,GALAXY,STARBURST
11.513,11.58,9.137,-0.06700039,2.443,1.458641,0.9049866,GALAXY,BROADLINE
11.822,11.835,10.372,-0.01300049,1.463,1.258526,1.171713,GALAXY,
11.793,11.866,10.939,-0.07299995,0.927,1.760131,0.3342204,GALAXY,
11.902,11.953,11.421,-0.05099964,0.5320005,1.939478,1.081929,GALAXY,BROADLINE
10.772,10.828,9.861,-0.05599976,0.967,1.709188,1.033249,GALAXY,BROADLINE
14.06,13.855,9.867,0.2050009,3.988,1.288584,0.2066433,GALAXY,STARBURST
10.967,11.012,9.869,-0.04500008,1.143,2.01141,1.197502,GALAXY,BROADLINE
14.356,14.195,9.871,0.1610003,4.323999,0.8672007,0.255358,GALAXY,STARBURST
11.362,11.471,10.798,-0.1089993,0.6729994,1.639047,0.9587764,GALAXY,BROADLINE
11.429,11.56,10.801,-0.1310005,0.7590008,1.604548,0.8987535,GALAXY,BROADLINE
13.15,13.138,12.468,0.01200008,0.6699991,2.842067,1.400051,GALAXY,
11.256,11.305,9.501,-0.04900074,1.804,1.509072,0.9234521,GALAXY,BROADLINE
11.441,11.439,9.507,0.001999855,1.932,1.955543,1.141208,GALAXY,AGN
11.72,11.798,10.867,-0.07800007,0.9310007,1.067611,1.03858,GALAXY,BROADLINE
13.09,12.866,9.401,0.224,3.465,4.501978,0.4945995,GALAXY,AGN
11.058,11.114,9.407,-0.05600071,1.707001,1.863489,1.170112,GALAXY,BROADLINE
11.008,11.052,9.411,-0.04399967,1.641,1.035133,0.9119636,GALAXY,AGN BROADLINE
12.44,12.235,9.412,0.2049999,2.823,1.740189,1.196786,GALAXY,BROADLINE
10.784,10.827,9.412,-0.04299927,1.415,0.593427,0.8552335,GALAXY,STARFORMING BROADLINE
13.22,12.968,9.415,0.2519999,3.553,0.8197583,0.4685303,GALAXY,STARFORMING
10.621,10.68,9.418,-0.05900002,1.262,1.014203,0.9693102,GALAXY,
10.403,10.457,9.421,-0.0539999,1.036,1.590055,1.475583,GALAXY,BROADLINE
11.871,11.859,9.422,0.01200008,2.437,0.6569399,0.7064466,GALAXY,STARFORMING
11.263,11.35,9.427,-0.08700085,1.923,1.132348,1.256407,GALAXY,AGN BROADLINE
11.466,11.486,9.429,-0.02000046,2.057,2.066652,1.366319,GALAXY,BROADLINE
11.376,11.48,10.678,-0.1039991,0.8019991,1.373797,0.7420967,GALAXY,BROADLINE
12.208,12.332,10.685,-0.1239996,1.646999,2.189675,0.6996054,GALAXY,BROADLINE
13.765,13.839,11.546,-0.0739994,2.293,1.771374,0.2142396,GALAXY,STARFORMING
12.497,12.482,11.715,0.01499939,0.7670002,2.453006,0.9699574,GALAXY,BROADLINE
11.964,11.841,9.208,0.1230001,2.632999,5.248282,1.002954,GALAXY,AGN
10.586,10.662,9.223,-0.07599926,1.439,1.477658,1.144252,GALAXY,BROADLINE
10.866,10.877,9.224,-0.01099968,1.653,1.633724,1.101263,GALAXY,AGN BROADLINE
11.094,11.136,9.224,-0.04199982,1.912,3.075706,0.9279952,GALAXY,AGN
11.436,11.469,9.226,-0.03299999,2.243,2.072098,1.273387,GALAXY,
11.461,11.491,9.233,-0.02999973,2.258,0.3157183,0.4681255,GALAXY,STARFORMING
12.402,12.397,9.233,0.005000114,3.164001,2.308184,0.1207306,GALAXY,STARBURST
10.393,10.43,9.233,-0.03700066,1.197001,2.05014,1.132834,GALAXY,BROADLINE
10.773,10.823,9.236,-0.05000019,1.587,0.9440152,0.8495281,GALAXY,AGN BROADLINE
13.429,13.238,9.236,0.191,4.002,1.053104,0.2334193,GALAXY,STARFORMING
12.686,12.6,9.237,0.08599949,3.363,0.7993318,0.5542068,GALAXY,STARFORMING
11.174,11.238,9.238,-0.06400013,2,1.448355,1.145405,GALAXY,
10.619,10.686,9.24,-0.06699944,1.446,1.677843,1.521845,GALAXY,BROADLINE
11.59,11.669,10.325,-0.07899952,1.344,1.563465,1.167496,GALAXY,
11.518,11.556,10.33,-0.03800011,1.226,1.369988,1.513964,GALAXY,BROADLINE
13.409,13.381,12.454,0.02800083,0.9269991,1.610581,0.7407376,GALAXY,BROADLINE
11.253,11.293,8.944,-0.03999996,2.349,0.7809142,0.456475,GALAXY,STARFORMING
10.506,10.482,8.949,0.02399921,1.533,2.689986,1.470876,GALAXY,BROADLINE
12.537,12.455,8.958,0.08199978,3.497,4.690823,0.05512263,GALAXY,STARBURST
11.777,11.712,8.959,0.06500053,2.753,0.9936383,0.9485298,GALAXY,BROADLINE
11.844,11.836,8.96,0.00799942,2.876,1.677258,1.200487,GALAXY,BROADLINE
10.898,10.93,8.963,-0.03200054,1.967,1.537335,1.65547,GALAXY,AGN BROADLINE
11.018,11.082,8.965,-0.06400013,2.117,1.323409,1.923673,GALAXY,AGN
12.462,12.373,8.966,0.08899975,3.407001,1.389425,0.2220515,GALAXY,STARFORMING
12.798,12.71,8.966,0.0880003,3.744,0.8678491,0.237937,GALAXY,STARFORMING
12.894,12.749,8.966,0.1450005,3.783,1.562079,0.1848469,GALAXY,STARBURST
10.262,10.305,8.973,-0.04300022,1.332001,2.062171,1.28653,GALAXY,BROADLINE
10.794,10.79,8.974,0.00399971,1.816,2.270929,1.683244,GALAXY,BROADLINE
10.941,10.959,8.978,-0.01799965,1.981,2.864297,0.9965434,GALAXY,BROADLINE
10.624,10.504,8.979,0.1199999,1.525,2.314377,0.838617,GALAXY,AGN
11.237,11.28,8.983,-0.04299927,2.297,1.65834,1.155125,GALAXY,BROADLINE
10.95,11.038,10.216,-0.0880003,0.8220005,1.624472,1.237742,GALAXY,BROADLINE
11.538,11.607,10.218,-0.06900024,1.389,2.058425,1.39257,GALAXY,BROADLINE
11.786,11.865,10.222,-0.07899952,1.643,1.352518,0.8844281,GALAXY,BROADLINE
11.007,11.048,10.226,-0.04100037,0.8220005,1.208209,0.69399,GALAXY,AGN BROADLINE
11.505,11.598,10.917,-0.09299946,0.6809998,1.783975,1.141009,GALAXY,BROADLINE
11.619,11.681,10.919,-0.06199932,0.7620001,1.978122,1.560916,GALAXY,BROADLINE
12.026,11.961,8.714,0.06499958,3.247001,0.8010004,0.3423448,GALAXY,STARFORMING
11.924,11.915,8.715,0.008999825,3.2,0.5531548,0.4302844,GALAXY,STARFORMING BROADLINE
12.257,12.103,8.719,0.1540003,3.384,0.8197583,0.4685303,GALAXY,STARFORMING
12.398,12.253,8.733,0.1449995,3.52,2.549666,0.1256354,GALAXY,STARBURST
9.893,9.905,8.736,-0.01200008,1.169,1.325066,0.6923509,GALAXY,BROADLINE
12.142,12.131,8.738,0.01100063,3.393,0.1660157,0.4186277,GALAXY,STARFORMING
10.535,10.548,8.746,-0.01300049,1.802,0.9102609,1.063255,GALAXY,BROADLINE
12.121,12.049,8.754,0.0720005,3.295,0.2253621,0.4340055,GALAXY,STARFORMING
10.812,10.839,8.758,-0.02699947,2.080999,0.4362919,0.4798919,GALAXY,STARFORMING BROADLINE
12.837,12.806,10.293,0.03100014,2.513,3.040397,0.07461493,GALAXY,STARBURST
11.623,11.695,10.305,-0.07199955,1.389999,3.111226,1.245035,GALAXY,BROADLINE
12.184,12.132,8.815,0.05200005,3.317,1.697478,0.4859318,GALAXY,STARFORMING
11.503,11.546,8.819,-0.04299927,2.726999,1.264786,0.6954514,GALAXY,STARFORMING
