path,sim,f_best_depth,f_best_duration,f_best_initial,f_bls_num_actual,f_bls_num_expect,f_bls_num_ratio,f_bls_period_1st,f_bls_period_2nd,f_bls_period_3rd,f_bls_power_1st,f_bls_power_2nd,f_bls_power_3rd,f_bls_snr,f_bls_trans_shape_fac,f_dens,f_density_ratio,f_dur_per_ratio,f_goodness_flag,f_lc_hi_1perc,f_lc_hi_5perc,f_lc_kurt,f_lc_lo_1perc,f_lc_lo_5perc,f_lc_mad,f_lc_rms,f_lc_skew,f_logg,f_lum,f_mag,f_mass,f_period_ratio_21,f_period_ratio_31,f_points_in_transit_ratio,f_radius,f_teff,c_R,c_S,c_T,c_planet_a,c_planet_i,c_planet_r,c_teq,c_xeff
PSLS/data/example.hdf5,run_00001,,,,,,,,,,,,,,,1.242484227648593,,,False,,,,,,,,,4.49044,0.8468,11.6351,0.932447,,,,0.90875,5807.1,,,,,,,,
PSLS/data/example.hdf5,run_00002,0.0005652730228644571,0.5,115.32969189814816,3,3,1.0,462.9037903790379,231.46064606460644,696.142614261426,2.3006418507239114e-05,1.1443105798246292e-05,8.476665064211557e-06,0.006779587344067491,0.5777861998969247,0.8891974836978072,2886536832888643.5,0.0010801380554490312,True,1.0002563588921514,1.0001807159727027,0.7940825334143709,0.9997383350210642,0.9998180089642483,0.00011023293057228493,0.00011175110055724277,-0.15801863844470365,4.42862,1.52762,10.2346,1.18782,0.500018904306401,1.5038602593670836,1.0088026123445015,1.10133,6113.38,3.070029446128115e-78,0.9881341697843556,0.9648083596278457,1.2402727997760599,89.85535452891365,2.8572678636931146,254.11002510398922,0.5741595940025701
PSLS/data/example.hdf5,run_00004,0.00011624546786795534,0.5,107.57969189814816,4,4,1.0,431.2466246624662,120.12851285128512,189.76097609760976,1.1959012787858255e-06,1.0450800427956625e-06,8.434119422855599e-07,0.0015455117449568892,0.22290756132900838,1.0531172791917127,1970622812410289.5,0.0011594293645575697,True,1.0003094079820665,1.000217900842087,0.009888068794863258,0.999692204068273,0.9997819674138593,0.00013178649166483515,0.00013232959446022818,0.003568831689022987,4.44401,0.916424,10.8742,0.941818,0.2785610506408227,0.44002889586935173,1.1506638510556628,0.963452,5752.35,0.9952464982431267,0.7605117399997022,0.9999996603297815,1.0949962999305642,89.88754006144715,1.1335024282101542,238.00950459571592,0.08353008513944789
PSLS/data/example.hdf5,run_00006,0.00015809292922546448,1.5,79.07969189814816,3,3,1.0,573.9033903390339,62.33423342334233,100.3095309530953,5.398568842554949e-06,4.440456222771276e-06,4.162269228977507e-06,0.0032805667347131444,0.13153400074460633,1.062069537786325,170570048187590.16,0.0026136803253834656,False,1.0007899540042748,1.0005594409244662,-0.005574028793712937,0.9992051179861456,0.9994379588542569,0.0003409934617341876,0.00034082726323181615,-0.007038520168483358,4.46117,0.987411,12.711,1.04256,0.10861450633096685,0.17478469833369928,1.2431837206139673,0.993839,5770.35,0.7694507616674275,0.5231164993095786,0.9716230274175611,1.3704590504042982,,1.3635674191415326,216.75415147696523,-0.5536054550284057
PSLS/data/example.hdf5,run_00008,3.1391888246240894e-05,1.5,98.20469189814816,9,9,1.0,150.92109210921092,302.09070907090705,38.52485248524852,6.375865690389167e-07,5.989980492258067e-07,5.469017959603318e-07,0.0011237280781967278,0.06816882231818604,0.8823997236479753,3733565784984.862,0.009938968629477954,False,1.0002679477404672,1.0001884590119197,0.011340263444381993,0.9997326886714918,0.9998106131430622,0.00011467460255154267,0.000114811274438647,-0.001854809991251874,4.42366,1.45271,10.36,1.16556,2.0016467204749975,0.2552648668707672,0.9793253912107365,1.09721,6048.34,0.8385030150850858,4.240770539901331,0.0,0.5838276886316301,,0.670815106593392,365.7455184041418,9.025261257847648
PSLS/data/example.hdf5,run_00009,0.00024332803991579526,0.5,49.45469189814815,8,8,1.0,196.94369436943694,393.9363936393639,590.8625862586258,1.1368038721778468e-05,5.841454723481301e-06,4.610651349665789e-06,0.004761316044022224,0.41907768940373274,1.0973919288830087,180122347029693.34,0.002538796693140501,False,1.000172322987753,1.0001221504578643,0.6316138727200946,0.9998232802002711,0.9998787435131375,7.372074154348695e-05,7.502875419945715e-05,-0.15445093966769421,4.46141,0.934517,9.52041,0.978132,2.000248826958624,3.0001599601876863,1.1448683629177467,0.962377,5783.76,0.08314741489784688,2.150241575029597,0.0,0.6576079571685992,,1.638119844102844,308.6310621054175,3.772164014934543
PSLS/data/example.hdf5,run_00011,0.0004162220946431162,0.5,104.82969189814816,4,4,1.0,419.67446744674464,209.84598459845984,139.8809880988099,1.6544499462599354e-05,8.643266538931216e-06,5.728871568330475e-06,0.005748153477452572,0.5140108243412709,0.9012926270553632,2122144456699421.5,0.001191399617522475,True,1.0002567874594095,1.0001806885254343,0.33184866805864877,0.9997342414181477,0.9998154171115493,0.00011057891729680287,0.00011179152156193742,-0.08718309133613339,4.40801,1.17638,10.3107,1.00273,0.5000208515784645,0.333308311439176,1.2111695024194649,1.03619,5904.11,1.0067830301090245e-19,0.9708839036381568,0.9560601229029375,1.098018232909216,89.85894042874895,2.306780753605366,252.99366409484546,0.5962521387974133
PSLS/data/example.hdf5,run_00012,0.002730740111006815,0.125,272.51719189814816,1,1,1.0,607.5557555755576,609.6839683968396,568.050805080508,4.474164932316907e-05,4.474164932316907e-05,3.698999699261084e-05,0.009459134530060805,0.7061678921644727,0.7980752561204587,4.653692296172542e+17,0.00020574243409410777,True,1.0011136287462925,1.0007859531912142,0.18421092996663457,0.9988740370555784,0.9992065051717851,0.00047931660761728215,0.00048105365452458433,-0.01078444103819003,4.38542,1.68289,12.778,1.0941,1.003502909488967,0.9349772426110502,0.43927190787022025,1.11089,6236.11,0.0,0.8001802015669762,0.9999999640020429,1.4466038476702745,89.78780820716895,6.334547534854292,241.05423737464344,0.057461855230442005
PSLS/data/example.hdf5,run_00016,,,,,,,,,,,,,,,0.867870955626907,,,False,,,,,,,,,4.41607,1.68943,12.1483,1.1433,,,,1.09623,6283.79,,,,,,,,
PSLS/data/example.hdf5,run_00017,0.0001328847801004171,0.5,102.95469189814816,4,4,1.0,411.36113611361134,218.8908890889089,674.3284328432843,1.6952030191042758e-06,1.5309815211393666e-06,1.5198816389678238e-06,0.0018399698647192707,0.1873959965898653,0.97228842826082,1852583437780683.8,0.001215477000875231,True,1.0005228984368448,1.0003678986359577,0.008787989502013982,0.9994774321218295,0.9996309347222729,0.0002239203396836307,0.00022416064749102753,0.0009754142033694582,4.44413,1.30887,11.7953,1.10582,0.5321136827773997,1.6392614023144998,1.195600032301141,1.04383,6041.52,0.8658808518794125,1.0393630257539141,0.8595046627864789,1.1193953613081924,89.876097260924,1.313021243992493,257.3413859109062,0.7300520896361264
