x, y
0.31161541792983977, 4.4874934538127653
0.32663490688609786, 3.7572363107020172
0.3393676916414032, 3.545193101428178
0.3733564313555652, 3.3563433663823328
0.3885838025119099, 3.2142267510496088
0.4136336076223473, 3.0873416710307913
0.43915114768297964, 2.9682321300183734
0.4673191857947163, 2.822840202021995
0.5223559982676483, 2.6751848465751236
0.6006236466002598, 2.459440267705772
0.65654395842356, 2.2787655000399427
0.7454655695106106, 2.104135415094842
0.8327241229969684, 1.9584239443995703
0.9742919012559549, 1.8227514401611915
1.0770896491987874, 1.7475257631300982
1.1848765699436985, 1.715518236124302
1.2919359029883066, 1.7260631451877757
1.4014378518839323, 1.7738347786723
1.4615677782589864, 1.8340419488554156
1.5400433087916847, 1.902530600651512
1.612022520571676, 2.010482775760911
1.703750541359896, 2.189666344165239
1.7791598094413166, 2.4133994905069187
1.8742139454309223, 2.737895101232902
1.940008661758337, 3.088113899219783
1.9826764833261152, 3.442540009408757
2.029034213945431, 4.49513585002796
2.01832828064097, 3.757396082051464
1.9706193157210914, 3.27432740699976
1.9126721524469465, 2.9115931866395646
1.838042442615851, 2.5651822724811604
1.7442355998267647, 2.2963403484790654
2.0057514075357297, 3.6068115851980718
