x, y
3.5800659963104424, 1.7552114248252522
3.464338607841609, 1.7601282812264678
3.3247590095356876, 1.7325407301753235
3.171356561955985, 1.677392205675204
3.040611115441578, 1.6225626124011092
2.9405253722036013, 1.5681316831595453
2.860914074882428, 1.5198933352232962
2.7670122378985114, 1.447416214109163
2.6865175253981866, 1.377809474029253
2.6094005768181465, 1.3103023645206728
2.537324291319147, 1.2153405919717923
2.496167537090446, 1.1394349601778928
2.4661833865980722, 1.0654694933423106
2.4541793332813677, 0.9769660781204319
2.462961519474108, 0.9024956368436441
2.4925299451762934, 0.813008850341522
2.560448982773404, 0.740159642797027
2.708706836074519, 0.7185520522338473
2.8455322576454387, 0.751162770094882
2.948060384025775, 0.8063910274015078
3.0595265933951725, 0.8740310249209315
3.152389118403617, 0.9474383621109701
3.2449398498194197, 1.029988394447053
3.3290721542338972, 1.1068508199190268
3.4067087588016736, 1.188949033018241
3.4927118247720013, 1.2768677409924076
3.549873983422974, 1.3512584494626894
3.607867591654325, 1.4343400338421468
3.674019798893133, 1.5298599360365708
3.6994829422922026, 1.605101127776252
3.6939226232234263, 1.6774453608795414
3.658482084859823, 1.7199695243495132
3.645386753968873, 1.4829238906065894
3.4543612128770755, 1.2288951690778458
2.5668407514225584, 1.2634726294993666
