x, y
2.6113642269380684, 0.723151756153416
2.6349068860978777, 0.6292328312370741
2.6741966219142483, 0.5398940183382004
2.7522044174967517, 0.41916013527307583
2.846946730186228, 0.31389744454602747
2.9330099610220874, 0.23023051455250707
3.0462018189692506, 0.13892118834379244
3.167293200519705, 0.04947586121195444
3.3113555651797313, -0.02479118772245941
3.432862711130359, -0.07961938914087395
3.552602858380251, -0.13258359148241183
3.6898051104374185, -0.174976256202235
3.848263317453443, -0.22320057517685798
3.992585534863577, -0.24993564765091733
4.16892161108705, -0.277869005245826
4.352221741013426, -0.2914761985070255
4.551944564746643, -0.30170156487160593
4.762996968384582, -0.29256796939491037
4.9750887830229535, -0.2654867256637168
5.178605456907752, -0.21707600678140615
5.333477695972282, -0.15420598077418093
5.449839757470766, -0.08710201400662163
5.547492420961455, -0.009985709340410612
5.621914248592464, 0.07266933543994816
5.672897358163707, 0.18544127959098533
5.651433521004764, 0.13141193491980366
5.693685578172369, 0.24602124958947638
5.691866608921611, 0.3147229298515014
5.686045907319186, 0.388643807528781
5.665985275010827, 0.4776364491705204
5.637401472498917, 0.5541136684389452
5.593746210480727, 0.6558081323616868
5.529094846253789, 0.7510851137483245
5.450619315721092, 0.8327282733155218
5.3629449978345605, 0.9257684558099075
5.250012992637505, 1.0457301106860404
5.147007362494586, 1.1343233239541632
5.046340407102642, 1.2281357346375408
4.921143352100477, 1.3178739759100309
4.788670420095279, 1.4001562208750145
4.650012992637505, 1.472932070547927
4.475651797314855, 1.555134429838187
4.345985275010827, 1.609243660184092
4.202546556951061, 1.661435634336638
4.040086617583369, 1.711550580946379
3.8456128194023385, 1.7562333016749363
3.6451104374187957, 1.7800658613007163
3.399237765266349, 1.7734886074151657
3.5097271546123863, 1.781397289212771
3.2463923776526635, 1.737433539556723
3.088245993936769, 1.6789838542175197
2.953486357730619, 1.6075128038984208
2.8464270246860113, 1.5129547935842926
2.577115634473798, 0.8804999068000461
2.5609527934170635, 1.011379270555028
2.5845993936769163, 1.1604193110304364
2.6309051537462103, 1.3034146687851162
2.713850151580771, 1.4086773595121647
2.58974447812906, 0.8068985718216596
2.5680207882200086, 0.9484559874313204
2.5602252057167605, 1.085193633999343
2.606011260285838, 1.2280824775210586
