x, y
3.226851450844521, 0.5743780012604184
3.4280294499783457, 0.5593062372959586
3.625569510610654, 0.5644988061529722
3.798631442182763, 0.585748395629366
3.937288869640537, 0.6137083817825156
4.087691641403205, 0.6627315575043715
4.229415331312256, 0.7201693576304133
4.345673451710697, 0.7863413248595343
4.438700736249459, 0.8736031102156026
4.505638804677349, 0.9635543799540213
4.53957557384149, 1.0448513682640843
4.5532957990472065, 1.1428977197077959
4.535833694239931, 1.2432607557184827
4.486149848419229, 1.3236257444901074
4.411883932438285, 1.410141930215425
4.308566478995236, 1.4940751457913564
4.177029016890429, 1.5620045978643895
4.050272845387614, 1.6160605710938123
3.8917626678215678, 1.6581869502312245
3.726444348202685, 1.6935230470171576
3.505725422260719, 1.7192728628362963
3.3347942832394977, 1.7192728628362963
3.1965006496318753, 1.7072367545113214
3.0399133824166307, 1.6872120787140181
2.856977046340407, 1.6486006692644304
2.678042442615851, 1.5830677874330956
2.5489475963620616, 1.522328046085158
2.4363274144651363, 1.437036774038931
2.3642962321351235, 1.3530769299047585
2.307232568211347, 1.253965436131403
2.298189692507579, 1.1672894790566388
2.309467301862278, 1.0783767230896228
2.3480294499783456, 1.0092756144539814
2.400727587700303, 0.9363399934316222
2.467561715028151, 0.8716325969057614
2.5638111736682547, 0.7987768615581257
2.661152013858813, 0.739714719379377
2.748982243395409, 0.6966829692617675
2.874854915547856, 0.6510416204365308
3.0059246427024684, 0.6150664382528115
3.1229623213512343, 0.5892101082007083
