# R / kpc # ne / cm-3 # ne_err / cm-3 # K / keV cm2 # K_err / keV cm2 # P / keV cm-3 # P_err / keV cm-3 # T / keV # T_err / keV #
2.923850000000000060e-01 3.230600000000000138e-03 5.223599999999999928e-05 2.323700000000000045e+02 3.393200000000000216e+01 2.657600000000000147e-11 3.894099999999999735e-12 5.285599999999999632e+00 7.903599999999999515e-01
2.889749999999999819e-01 1.488500000000000023e-03 7.956700000000000578e-05 3.833500000000000227e+02 5.688100000000000023e+01 1.205100000000000025e-11 1.851499999999999936e-12 5.169699999999999740e+00 7.619700000000000362e-01
2.844200000000000061e-01 1.555799999999999978e-03 7.621899999999999650e-05 3.602500000000000000e+02 5.203000000000000114e+01 1.219099999999999925e-11 1.816099999999999905e-12 5.014899999999999913e+00 7.240499999999999714e-01
2.798650000000000304e-01 1.371100000000000096e-03 8.845500000000000606e-05 3.788899999999999864e+02 5.444299999999999784e+01 1.038699999999999926e-11 1.573800000000000019e-12 4.860000000000000320e+00 6.861199999999999521e-01
2.753149999999999764e-01 1.359699999999999928e-03 9.088900000000000342e-05 3.802900000000000205e+02 5.350099999999999767e+01 1.028099999999999951e-11 1.534400000000000005e-12 4.705300000000000260e+00 6.482400000000000384e-01
2.707650000000000334e-01 1.389299999999999997e-03 9.306500000000000427e-05 3.882799999999999727e+02 5.340299999999999869e+01 1.088099999999999938e-11 1.592100000000000052e-12 4.632500000000000284e+00 6.215500000000000469e-01
2.662149999999999794e-01 1.259899999999999996e-03 1.093799999999999997e-04 4.287599999999999909e+02 5.982200000000000273e+01 1.020800000000000012e-11 1.569999999999999974e-12 4.799699999999999633e+00 6.276300000000000212e-01
2.616650000000000365e-01 1.259899999999999996e-03 1.125200000000000001e-04 4.374800000000000182e+02 6.029200000000000159e+01 1.041599999999999924e-11 1.594100000000000043e-12 4.966899999999999871e+00 6.337099999999999955e-01
2.571149999999999824e-01 1.287600000000000073e-03 1.124900000000000021e-04 4.129499999999999886e+02 5.617900000000000205e+01 1.019500000000000008e-11 1.537700000000000001e-12 5.134100000000000108e+00 6.397899999999999698e-01
2.525650000000000395e-01 1.353299999999999989e-03 1.139899999999999979e-04 3.818600000000000136e+02 5.110099999999999909e+01 1.024199999999999937e-11 1.514000000000000011e-12 4.910499999999999865e+00 6.044500000000000428e-01
2.480149999999999855e-01 1.330999999999999935e-03 1.208199999999999986e-04 3.682900000000000205e+02 4.944599999999999795e+01 9.608800000000000012e-12 1.444599999999999923e-12 4.672699999999999854e+00 5.675999999999999934e-01
2.434649999999999870e-01 1.270899999999999938e-03 1.320600000000000062e-04 3.750600000000000023e+02 5.090699999999999648e+01 9.060100000000000138e-12 1.415900000000000056e-12 4.434899999999999842e+00 5.307500000000000551e-01
2.389149999999999885e-01 1.318900000000000020e-03 1.335300000000000039e-04 3.631200000000000045e+02 4.790400000000000347e+01 9.330399999999999906e-12 1.418099999999999986e-12 4.399200000000000443e+00 5.128899999999999570e-01
2.343649999999999900e-01 1.364900000000000054e-03 1.336200000000000116e-04 3.555199999999999818e+02 4.561200000000000188e+01 9.673000000000000485e-12 1.427700000000000066e-12 4.367799999999999905e+00 4.954299999999999815e-01
2.298149999999999915e-01 1.249499999999999960e-03 1.515300000000000078e-04 3.923500000000000227e+02 5.348599999999999710e+01 9.213799999999999372e-12 1.507099999999999909e-12 4.361900000000000333e+00 4.820300000000000140e-01
2.252649999999999930e-01 1.327800000000000074e-03 1.417400000000000083e-04 3.914300000000000068e+02 5.099199999999999733e+01 1.017199999999999987e-11 1.552700000000000038e-12 4.550500000000000433e+00 4.994899999999999896e-01
2.207100000000000173e-01 1.280300000000000058e-03 1.481700000000000129e-04 4.132300000000000182e+02 5.522099999999999653e+01 1.010600000000000076e-11 1.607399999999999997e-12 4.739300000000000068e+00 5.169700000000000406e-01
2.161549999999999860e-01 1.467500000000000054e-03 1.399899999999999929e-04 3.732699999999999818e+02 4.827499999999999858e+01 1.145899999999999954e-11 1.691199999999999902e-12 4.865700000000000358e+00 5.330700000000000438e-01
2.116049999999999875e-01 1.435499999999999927e-03 1.553100000000000021e-04 3.746899999999999977e+02 5.124199999999999733e+01 1.108799999999999961e-11 1.760300000000000082e-12 4.809599999999999653e+00 5.450800000000000090e-01
2.070549999999999891e-01 1.397800000000000041e-03 1.680800000000000035e-04 3.943500000000000227e+02 5.773599999999999710e+01 1.116400000000000049e-11 1.916400000000000195e-12 4.753599999999999604e+00 5.570899999999999741e-01
2.025049999999999906e-01 1.272300000000000080e-03 1.936399999999999959e-04 4.547900000000000205e+02 7.531900000000000261e+01 1.100699999999999945e-11 2.209399999999999855e-12 5.042900000000000382e+00 6.301400000000000334e-01
1.979549999999999921e-01 1.367299999999999896e-03 1.893900000000000011e-04 4.589200000000000159e+02 7.562500000000000000e+01 1.252200000000000016e-11 2.435099999999999994e-12 5.442700000000000315e+00 7.227299999999999836e-01
1.934049999999999936e-01 1.452399999999999958e-03 1.818199999999999905e-04 4.213100000000000023e+02 6.585899999999999466e+01 1.271399999999999934e-11 2.314499999999999882e-12 5.586700000000000443e+00 7.562999999999999723e-01
