# metal tau age EBVgal Tdust fracPAH incl EBVbbb GA SB TO BB logMstar SFR_opt LIR(8-1000) Lbb(0.1-1) Lbbdered(0.1-1) Lga(01-1) AGNfrac(0.1-1) Ltor(1-30) LAGN(0.1-30) AGNfrac(8-1000) Lgal(0.4-0.5) Lbbb(0.4-0.5) AGNfrac(0.4-0.5) Ltor(6) Lsb(1-30) SFR_IR log_like logz
1.8334 4.3205 9.5947 0.5402 26.7181 0.0043 40.9807 0.0410 7.3435 4.4092 6.5343 3.8689 9.3043 40.4966 42.7632 43.7915 44.0837 43.3862 0.7178 43.9815 44.2102 0.9146 42.4949 42.7680 0.6522 43.5729 42.0338 0.2249 -24.9138 -51.2159
0.8252 8.6893 11.1584 0.7270 16.4613 0.0120 37.5370 0.0694 7.7462 5.5251 6.5265 3.9485 9.6825 17.7812 42.8336 43.9031 44.2008 43.2267 0.8260 44.0058 44.2725 0.9098 42.2501 42.8828 0.8111 43.6096 41.7334 0.2645 -34.3275 -53.1599
1.5855 7.0942 7.8915 0.6504 40.6635 0.0273 42.1068 0.1544 6.5459 3.5260 6.5181 4.0002 10.5682 3.4446 42.1542 43.9155 44.2154 43.1709 0.8474 44.0176 44.2846 0.9802 42.1805 42.8964 0.8387 43.6214 40.5951 0.0553 -23.1429 -51.3028
1.2801 7.9037 10.0208 0.5221 33.1906 0.0411 19.9795 0.0957 7.4976 3.6733 6.4635 3.9880 9.4119 26.5131 42.0528 43.8178 44.3947 42.8891 0.8946 44.0386 44.2643 0.9850 41.6869 42.9375 0.9468 43.6424 41.3199 0.0438 -24.6062 -51.2747
1.0014 6.4927 8.6400 0.6914 31.6950 0.0261 37.4811 0.0363 6.9555 4.9106 6.5119 3.8594 9.4731 30.0949 42.6461 43.9026 44.2619 43.0871 0.8674 43.9630 44.2515 0.9372 42.0323 42.9167 0.8846 43.5819 42.0426 0.1718 -27.6680 -51.2103
0.6285 5.1857 10.0372 0.7339 22.5979 0.0095 44.2520 0.1038 7.7726 4.5997 6.5312 3.9923 10.5538 2.9969 42.3236 43.8855 44.1949 43.2284 0.8195 43.9859 44.2539 0.9689 42.2832 42.8718 0.7950 43.5897 41.6417 0.0817 -36.3391 -55.7011
1.4264 11.1709 11.0096 0.5710 41.9189 0.0449 36.6107 0.0930 7.6817 3.8579 6.5412 3.9185 10.5669 2.7125 42.1614 43.9124 44.2223 43.1201 0.8611 43.9979 44.2728 0.9790 42.0574 42.8990 0.8741 43.6016 41.3532 0.0563 -37.6103 -55.2183
1.0614 10.7587 8.2646 0.7869 34.6930 0.0340 30.0403 0.1053 6.8425 3.6938 6.4964 3.9353 10.3709 0.5528 42.6963 43.7949 44.3520 43.0440 0.8493 44.0857 44.2838 0.9387 41.9716 42.9062 0.8959 43.6698 41.8852 0.1928 -25.2817 -51.3796
1.1004 9.1188 10.1952 0.7081 36.1950 0.0432 44.6127 0.0874 7.7255 3.6114 6.5224 3.9787 9.2329 66.2339 42.0703 43.7850 44.3874 43.0765 0.8364 44.0012 44.2299 0.9830 42.0894 42.9152 0.8701 43.6050 41.2500 0.0456 -32.2144 -51.2449
1.8624 0.3897 8.8325 0.5897 26.9095 0.0471 32.2686 0.0305 7.1657 4.7886 6.4834 3.8577 10.3714 2.5423 42.0648 43.8895 44.1831 43.1865 0.8346 44.0159 44.2717 0.9838 42.1922 42.8668 0.8254 43.6197 41.1280 0.0450 -26.8466 -51.2133
1.6971 6.6273 8.3214 0.7153 15.6223 0.0054 50.4605 0.0805 6.7838 5.7464 6.5810 3.9016 9.0145 56.4512 42.5530 44.1111 44.1461 43.0445 0.9210 43.9869 44.3647 0.9513 41.9273 42.9275 0.9091 43.6057 41.8223 0.1386 -24.4974 -51.3461
1.3210 8.0430 10.1876 0.6071 41.2809 0.0390 35.0865 0.1024 7.7049 3.8316 6.5228 3.9400 9.3518 62.1527 42.4332 43.8935 44.2217 43.1432 0.8491 43.9706 44.2500 0.9612 42.1669 42.8904 0.8410 43.5894 41.6177 0.1052 -23.6352 -51.2204
1.1483 8.7422 9.8304 0.7914 35.2490 0.0227 35.4611 0.1564 7.7467 4.3423 6.4914 4.0431 9.4533 28.9869 42.2971 44.0289 44.1930 43.0341 0.9081 44.0254 44.3402 0.9703 41.8747 42.9284 0.9188 43.6053 41.4854 0.0769 -25.4517 -51.2632
1.0381 1.2281 10.8132 0.7296 19.8286 0.0269 27.6514 0.1566 7.9750 5.5471 6.4668 4.1119 9.9424 15.9156 42.6165 43.9429 44.2184 43.1352 0.8653 44.0138 44.2947 0.9418 42.1828 42.9097 0.8421 43.6053 41.8939 0.1605 -29.7891 -51.9763
0.9170 11.7978 7.7403 0.7777 40.2370 0.0135 41.9011 0.0663 6.6379 3.5350 6.5221 3.8955 10.3477 5.2482 42.5766 43.7882 44.2364 43.3351 0.7395 44.0339 44.2451 0.9471 42.4224 42.8487 0.7274 43.6180 41.8969 0.1464 -27.6576 -51.2173
0.5160 6.2827 10.4899 0.5736 39.0271 0.0169 43.5501 0.0253 7.6669 3.9098 6.5344 3.8406 9.9424 15.9156 42.0521 43.9914 44.0884 43.2472 0.8473 44.0157 44.3148 0.9842 42.2670 42.8484 0.7923 43.6195 41.2447 0.0437 -25.2075 -51.5924
1.6334 3.5038 7.0641 0.7780 31.5821 0.0492 46.1272 0.0658 6.2660 4.3532 6.5455 3.9054 9.0145 56.4512 42.4321 43.8880 44.2921 43.0622 0.8701 44.0221 44.2780 0.9605 41.9188 42.9260 0.9105 43.6062 41.5028 0.1049 -31.8759 -58.6173
1.0167 13.0585 9.9921 0.7564 40.8547 0.0506 32.4989 0.2250 7.7326 3.6185 6.4508 4.0849 9.6894 34.9782 42.2081 43.9233 44.2258 43.0919 0.8715 43.9913 44.2744 0.9763 42.0836 42.9057 0.8691 43.5951 41.3143 0.0626 -26.8302 -51.2230
0.9382 4.4024 8.2057 0.7548 31.3036 0.0108 27.3810 0.1304 6.7860 4.0610 6.4673 3.9729 10.6229 5.0273 41.9953 43.9255 44.1735 43.1583 0.8540 44.0267 44.2926 0.9872 42.1761 42.8762 0.8337 43.6455 41.3564 0.0384 -24.4239 -53.1716
1.8940 4.0104 8.5366 0.6611 41.6844 0.0230 19.1899 0.0678 6.8141 3.7411 6.4331 3.9651 9.7560 20.6725 42.6166 43.8389 44.2824 43.1415 0.8328 43.9898 44.2395 0.9444 42.1780 42.8971 0.8397 43.6086 42.0245 0.1605 -27.1676 -57.3226
0.5292 7.8590 9.4112 0.7336 28.6919 0.0109 40.3273 0.0626 7.3515 4.4596 6.5172 3.8824 10.5842 4.3443 42.0402 43.9535 44.1307 43.2523 0.8340 44.0053 44.2927 0.9843 42.3052 42.8612 0.7825 43.6091 41.1611 0.0426 -23.5519 -53.9178
1.4868 2.2572 8.0448 0.7353 32.6559 0.0470 12.6723 0.0622 6.7950 4.3344 6.3907 3.8757 10.2007 8.2320 42.0497 44.0625 44.1189 43.1329 0.8948 44.0307 44.3577 0.9841 41.9582 42.8930 0.8959 43.6221 41.3688 0.0435 -34.3684 -58.8557
1.7300 6.0679 7.0404 0.7543 38.0658 0.0116 54.0829 0.0902 6.2142 3.8604 6.5764 3.9154 9.9280 10.8140 42.1736 43.9071 44.1276 43.2748 0.8109 44.0185 44.2791 0.9794 42.3056 42.8413 0.7744 43.6223 41.3768 0.0579 -25.8563 -51.9615
0.7416 12.7453 10.8839 0.6621 30.7389 0.0508 23.6751 0.1378 7.6132 4.6219 6.4364 4.0043 9.8970 9.6558 42.5172 43.9578 44.1667 43.1561 0.8637 43.9692 44.2774 0.9532 42.1467 42.8849 0.8455 43.5881 41.8578 0.1276 -26.6018 -51.2125
1.3184 11.1301 11.0495 0.7372 19.6065 0.0211 51.5005 0.0596 7.6849 5.1769 6.5589 3.9883 10.0302 12.6347 42.2517 43.9129 44.2711 43.0034 0.8903 44.0048 44.2783 0.9746 41.7816 42.9264 0.9331 43.6086 41.3245 0.0693 -34.2606 -51.2472
1.7604 6.6527 8.3024 0.7538 36.8409 0.0251 46.2879 0.0829 6.7865 4.5876 6.5710 3.9278 9.7940 15.8369 42.3710 43.9398 44.0983 43.2521 0.8297 44.0269 44.2972 0.9685 42.2872 42.8358 0.7796 43.6307 41.1290 0.0912 -23.9859 -52.5519
1.1945 10.4806 7.4790 0.7849 34.9183 0.0211 36.2791 0.0474 6.4674 3.8533 6.5353 3.8720 10.3477 5.2482 42.5891 43.8954 44.1909 43.2138 0.8277 43.9632 44.2462 0.9352 42.1804 42.8738 0.8316 43.5431 41.7102 0.1507 -23.1928 -51.5678
1.7422 5.7340 7.1139 0.6161 26.3506 0.0180 39.9586 0.0332 6.1983 4.9747 6.5257 3.7793 10.1625 4.0376 41.9775 43.8710 44.2468 43.1080 0.8528 44.0111 44.2633 0.9873 41.9269 42.8940 0.9026 43.6299 40.7597 0.0368 -36.5017 -52.9874
1.4254 12.5780 8.6767 0.7687 28.5461 0.0412 33.3039 0.0349 7.1015 4.2818 6.4784 3.8535 9.2329 66.2339 42.9291 43.7127 44.4416 43.1435 0.7876 43.9750 44.1915 0.8830 42.2207 42.8879 0.8229 43.5788 42.1435 0.3296 -25.4210 -57.8474
1.5786 11.2541 7.2578 0.7339 35.4316 0.0140 49.8525 0.1144 6.2564 3.9969 6.5755 3.9749 9.7727 21.4547 41.9563 43.7794 44.2952 43.1320 0.8162 43.9676 44.2041 0.9866 42.1550 42.8723 0.8391 43.5864 41.2551 0.0351 -24.0434 -52.3841
0.9505 9.6073 8.5690 0.7566 41.7521 0.0252 42.8453 0.0636 7.0247 3.4199 6.5175 3.8804 9.9942 15.3866 42.3128 43.9862 44.1767 43.1490 0.8730 43.9674 44.2907 0.9684 42.0756 42.9021 0.8702 43.5712 41.5579 0.0797 -26.7614 -51.2093
1.0775 2.0814 9.6226 0.5341 37.2848 0.0199 37.2609 0.0791 7.5695 3.8875 6.5566 3.9293 9.2531 36.0751 42.2765 43.8311 44.3435 43.0798 0.8494 44.0349 44.2649 0.9749 41.9779 42.9224 0.8980 43.6387 41.5186 0.0733 -34.2470 -55.4879
1.7118 6.2926 8.3361 0.7138 16.3780 0.0072 51.1634 0.0770 6.7887 5.7109 6.5820 3.8945 9.8144 16.3785 42.1999 43.8962 44.3015 43.0752 0.8688 44.0056 44.2727 0.9764 41.9325 42.9349 0.9095 43.5971 41.2197 0.0615 -29.1981 -51.2187
1.7038 3.0023 8.3866 0.7788 37.2269 0.0213 36.9344 0.1885 6.8383 3.8397 6.5296 4.0551 8.9598 50.2285 42.3616 43.9125 44.1952 43.2205 0.8311 44.0194 44.2837 0.9686 42.2877 42.8835 0.7977 43.6232 41.7073 0.0892 -25.4084 -51.2779
