# metal tau age EBVgal Tdust fracPAH incl EBVbbb GA SB TO BB logMstar SFR_opt LIR(8-1000) Lbb(0.1-1) Lbbdered(0.1-1) Lga(01-1) AGNfrac(0.1-1) Ltor(1-30) LAGN(0.1-30) AGNfrac(8-1000) Lgal(0.4-0.5) Lbbb(0.4-0.5) AGNfrac(0.4-0.5) Ltor(6) Lsb(1-30) SFR_IR log_like logz
1.7670 7.8473 9.0052 0.7960 24.5335 0.0379 7.2072 0.0101 7.8360 6.6154 6.8833 4.5853 9.7472 430.4433 44.0337 44.8308 44.8688 43.8334 0.9086 44.5459 45.0242 0.6648 42.8479 43.6491 0.8635 44.1259 42.6949 4.1930 -330.5923 -368.8806
1.6335 7.5071 8.9050 0.6979 24.3092 0.0336 12.2906 0.0194 7.7048 6.6855 6.8966 4.5802 10.1995 162.6824 44.0341 44.8472 44.8561 43.7904 0.9193 44.5318 45.0299 0.6556 42.7239 43.6462 0.8932 44.1115 43.0140 4.1968 -330.7427 -374.6181
1.9270 7.9754 11.0513 0.4811 23.9732 0.0208 21.6909 0.0003 8.2782 6.6631 6.9203 4.5531 10.5654 93.9671 44.0296 44.8458 44.8602 43.8106 0.9156 44.5536 45.0362 0.6691 42.8029 43.6485 0.8751 44.1334 42.6945 4.1534 -330.1792 -367.6397
0.8839 7.1396 8.6596 0.7336 24.7915 0.0471 10.0879 0.0000 7.7375 6.6253 6.8650 4.5303 9.7160 400.7234 44.0508 44.8354 44.8579 43.8057 0.9146 44.5601 45.0316 0.6633 42.7938 43.6435 0.8762 44.1401 42.8434 4.3617 -330.3961 -367.7628
1.9701 4.0687 10.7849 0.6446 24.5669 0.0333 2.5821 0.0227 8.4637 6.5984 6.8695 4.6029 10.9120 34.4792 44.1028 44.8454 44.9168 43.7433 0.9267 44.4856 45.0162 0.5937 42.5883 43.6857 0.9260 44.0653 43.3704 4.9158 -329.0984 -371.6019
1.0729 1.8699 11.9655 0.7064 24.1765 0.0260 21.9145 0.0074 8.6151 6.6948 6.9295 4.5777 10.4426 140.4805 44.0407 44.8204 44.8547 43.8802 0.8971 44.5093 45.0052 0.6403 42.9303 43.6363 0.8356 44.0890 43.1122 4.2612 -331.1719 -369.3628
1.8856 9.5628 7.1363 0.7857 24.9047 0.0070 0.1553 0.0024 6.9133 6.5654 6.8600 4.5265 10.4526 104.7088 44.0431 44.8524 44.8548 43.8577 0.9081 44.5177 45.0289 0.6435 42.8548 43.6470 0.8611 44.0974 42.9218 4.2850 -343.0266 -367.6342
1.8671 0.7874 9.2425 0.7173 24.8449 0.0312 8.0568 0.0072 8.0045 6.6046 6.9042 4.5564 9.7042 545.7788 44.0250 44.8397 44.9673 43.5873 0.9470 44.5880 45.0468 0.6904 42.2793 43.7162 0.9647 44.1680 42.9319 4.1103 -343.3476 -367.6429
1.7496 5.7828 7.1707 0.7687 24.8118 0.0336 4.0704 0.0076 6.8886 6.6307 6.8438 4.5274 9.7403 423.6279 44.0107 44.8377 44.8749 43.8236 0.9117 44.5503 45.0302 0.6787 42.7556 43.6555 0.8882 44.1303 42.9010 3.9771 -331.7041 -367.8122
1.5238 3.0656 8.4303 0.7348 24.8336 0.0348 2.6562 0.0217 7.4914 6.5967 6.8604 4.6052 10.8781 24.5529 44.0314 44.8749 44.9020 43.7238 0.9340 44.5013 45.0404 0.6483 42.4984 43.6861 0.9390 44.0854 42.9709 4.1708 -331.4147 -367.6312
1.5593 7.2401 8.8436 0.7706 24.4909 0.0027 0.1862 0.0039 7.7823 6.6205 6.8903 4.5414 11.1383 12.9973 44.0087 44.7836 44.7860 44.0227 0.8522 44.5736 45.0026 0.6896 43.1015 43.5783 0.7498 44.1534 42.8564 3.9588 -341.9581 -367.6317
1.7082 10.4284 12.1264 0.7113 23.3946 0.0343 2.9513 0.0210 8.2937 6.6954 6.8834 4.6174 11.1364 16.2421 44.0536 44.8365 44.8816 43.6638 0.9370 44.4459 44.9977 0.6007 42.4273 43.6595 0.9447 44.0258 43.0461 4.3899 -330.8236 -368.0543
1.7069 5.2769 7.6281 0.7339 24.7948 0.0235 3.4803 0.0398 7.0869 6.6444 6.8960 4.5855 10.5654 93.9671 44.0039 44.8383 44.8478 43.8825 0.9003 44.5072 45.0162 0.6585 42.9266 43.6377 0.8372 44.0870 43.0970 3.9149 -342.4588 -367.9565
1.9225 4.8784 8.9573 0.7466 25.6458 0.0063 9.4447 0.0072 7.7330 6.5346 6.8976 4.5756 10.9317 27.7767 44.0077 44.8275 44.8915 43.8326 0.9081 44.4981 45.0073 0.6518 42.7982 43.6630 0.8799 44.0779 42.8727 3.9497 -331.2637 -371.6870
0.3549 8.8008 11.7304 0.7730 24.7068 0.0315 2.4305 0.0058 8.4525 6.6214 6.9154 4.5574 10.4496 103.7813 44.0469 44.8512 44.8549 43.8450 0.9103 44.5176 45.0281 0.6414 42.8412 43.6467 0.8647 44.0974 42.9571 4.3224 -331.0640 -369.0477
1.8970 9.9634 10.4628 0.7916 23.0201 0.0253 20.2968 0.0174 8.4476 6.6914 6.8225 4.6008 10.5094 83.8982 44.0590 44.8698 44.8708 43.7999 0.9216 44.5058 45.0375 0.6305 42.7666 43.6635 0.8875 44.0858 43.1988 4.4451 -333.3838 -367.6486
1.8890 5.8610 8.0027 0.7965 24.8068 0.0351 12.8192 0.0083 7.2705 6.6112 6.8786 4.5774 10.4524 72.7804 44.0782 44.8319 44.8964 43.7543 0.9228 44.4921 45.0085 0.6109 42.6823 43.6677 0.9063 44.0719 43.3097 4.6451 -332.7038 -368.0182
