logz logzerr logvol nlive logl logwt insert_order
-inf nan 0.000000000000000000e+00 4.000000000000000000e+02 -7.947751633638878906e+12 -7.947751633644872070e+12 5.100000000000000089e-01
-7.947751633644872070e+12 nan -2.500000000000000052e-03 4.000000000000000000e+02 -3.392235037864822754e+12 -3.392235037870817871e+12 1.614999999999999991e+00
-3.392235037870817871e+12 nan -5.000000000000000104e-03 4.000000000000000000e+02 -7.627727282920142822e+11 -7.627727282980119629e+11 3.800000000000000044e-01
-7.627727282980119629e+11 nan -7.499999999999999722e-03 4.000000000000000000e+02 -6.588705976204979248e+11 -6.588705976264981689e+11 1.514999999999999902e+00
-6.588705976264981689e+11 nan -1.000000000000000021e-02 4.000000000000000000e+02 -4.194935904966018066e+11 -4.194935905026044922e+11 2.500000000000000000e-01
-4.194935905026044922e+11 nan -1.250000000000000069e-02 4.000000000000000000e+02 -3.595061660683007202e+11 -3.595061660743059082e+11 1.149999999999999911e+00
-3.595061660743059082e+11 1.314584545248369446e+11 -1.500000000000000118e-02 4.000000000000000000e+02 -3.061546208324326172e+11 -3.061546208384403076e+11 4.249999999999999889e-01
-3.061546208384403076e+11 1.510342591133787537e+11 -1.750000000000000167e-02 4.000000000000000000e+02 -2.823705998105392456e+11 -2.823705998165494385e+11 3.049999999999999933e-01
-2.823705998165494385e+11 2.186985637382353973e+10 -2.000000000000000042e-02 4.000000000000000000e+02 -2.572440826381750183e+11 -2.572440826441877441e+11 1.675000000000000044e+00
-2.572440826441877441e+11 1.088010108932397079e+10 -2.249999999999999917e-02 4.000000000000000000e+02 -2.555350648013020630e+11 -2.555350648073172913e+11 2.550000000000000044e-01
-2.555350648073172913e+11 9.776170005977966309e+09 -2.499999999999999792e-02 4.000000000000000000e+02 -2.417009672245578918e+11 -2.417009672305755920e+11 1.030000000000000027e+00
-2.417009672305755920e+11 1.176185422857254219e+10 -2.749999999999999667e-02 4.000000000000000000e+02 -2.269786591557894287e+11 -2.269786591618096313e+11 2.200000000000000011e-01
-2.269786591618096313e+11 9.364744015206491470e+09 -2.999999999999999542e-02 4.000000000000000000e+02 -1.603857923978388977e+11 -1.603857924038616028e+11 1.995000000000000107e+00
-1.603857924038616028e+11 3.449246760619713593e+10 -3.249999999999999417e-02 4.000000000000000000e+02 -1.590803382610759277e+11 -1.590803382671011353e+11 1.995000000000000107e+00
-1.590803382671011353e+11 2.811538123526194763e+10 -3.499999999999999639e-02 4.000000000000000000e+02 -1.163754332821143494e+11 -1.163754332881420593e+11 1.635000000000000009e+00
-1.163754332881420593e+11 4.317282980480057526e+10 -3.749999999999999861e-02 4.000000000000000000e+02 -9.096139576495428467e+10 -9.096139577098449707e+10 7.399999999999999911e-01
-9.096139577098449707e+10 5.245466031693279266e+10 -4.000000000000000083e-02 4.000000000000000000e+02 -8.970824617559751892e+10 -8.970824618163023376e+10 8.999999999999999667e-02
-8.970824618163023376e+10 3.787643427784902954e+10 -4.250000000000000305e-02 4.000000000000000000e+02 -8.192212791370431519e+10 -8.192212791973953247e+10 1.270000000000000018e+00
-8.192212791973953247e+10 3.947220433437062073e+10 -4.500000000000000527e-02 4.000000000000000000e+02 -7.238844458389057922e+10 -7.238844458992829895e+10 4.949999999999999956e-01
-7.238844458992829895e+10 4.195274393558437347e+10 -4.750000000000000749e-02 4.000000000000000000e+02 -5.978041365348731995e+10 -5.978041365952753448e+10 3.599999999999999867e-01
-5.978041365952753448e+10 4.557895533291693878e+10 -5.000000000000000971e-02 4.000000000000000000e+02 -5.416218359900590515e+10 -5.416218360504862213e+10 1.510000000000000009e+00
-5.416218360504862213e+10 4.716164225675358582e+10 -5.250000000000001193e-02 4.000000000000000000e+02 -4.222981337757297516e+10 -4.222981338361818695e+10 5.849999999999999645e-01
-4.222981338361818695e+10 6.122707855052922249e+09 -5.500000000000001416e-02 4.000000000000000000e+02 -3.797456196565808868e+10 -3.797456197170580292e+10 9.200000000000000400e-01
-3.797456197170580292e+10 7.357104014176649094e+09 -5.750000000000001638e-02 4.000000000000000000e+02 -3.613137640741029358e+10 -3.613137641346051025e+10 1.705000000000000071e+00
-3.613137641346051025e+10 7.729149940916382790e+09 -6.000000000000001860e-02 4.000000000000000000e+02 -3.163480955315225983e+10 -3.163480955920497513e+10 1.649999999999999911e+00
-3.163480955920497513e+10 7.840879608203203201e+09 -6.250000000000001388e-02 4.000000000000000000e+02 -2.518252651521436691e+10 -2.518252652126958084e+10 8.649999999999999911e-01
-2.518252652126958084e+10 5.033899753462735176e+09 -6.500000000000001610e-02 4.000000000000000000e+02 -2.160534157623372650e+10 -2.160534158229143906e+10 7.049999999999999600e-01
