weight logl metal tau age EBVgal Tdust fracPAH incl EBVbbb GA SB TO BB
0.000000000000000000e+00 -7.947751633638878906e+12 4.194920771572516749e-01 2.888459490375276939e-01 3.335245913620190628e-01 9.216562915065440453e-01 7.476131051641611291e-01 8.060570180746653435e-01 7.827718481033296705e-01 1.557609160031240281e-01 2.831077685877170236e-02 8.329619662467508956e-01 2.588242154668651818e-01 9.903160912507871227e-01
0.000000000000000000e+00 -3.392235037864822754e+12 6.990899921682722784e-01 7.958325495788483028e-01 2.853971387601255127e-01 8.386793296118921770e-01 4.973465574236379805e-02 7.218876890298880911e-01 7.054682301428816249e-01 4.169713256685234626e-01 6.750850673783781453e-01 6.280983610267313333e-01 7.955249745643444559e-02 9.959671153983583602e-01
0.000000000000000000e+00 -7.627727282920142822e+11 8.643328438029161953e-01 8.842131542082514173e-01 3.559866927019301741e-01 5.454755332733954853e-01 6.344192791018630206e-01 5.281764823718020363e-01 9.695737442597175404e-01 1.168769872760955231e-02 1.692767455383896724e-01 5.139330246154530935e-01 9.978941203207982724e-01 9.531442059890814500e-01
0.000000000000000000e+00 -6.588705976204979248e+11 6.288159195228674170e-01 1.913045516601403762e-01 2.287536327895053345e-01 4.774965797483485819e-01 5.184376883410531933e-01 5.218737463767031404e-01 4.914594624168866499e-01 9.285511504960884954e-01 8.433195252678452603e-01 1.046192165127124429e-01 3.688034522535635906e-01 9.985800259595233319e-01
0.000000000000000000e+00 -4.194935904966018066e+11 6.792104255219709730e-01 9.493394066780801444e-01 3.695565772358387902e-01 2.021511851454185216e-01 5.691078204588285727e-01 5.234722069993688054e-01 8.202972689051679644e-01 5.391738802870715830e-02 5.541778687819435278e-01 3.482572239550464355e-01 2.017430786849425672e-01 9.505374647698042745e-01
0.000000000000000000e+00 -3.595061660683007202e+11 1.540677422022440624e-02 2.777800977684730110e-02 3.702397754308190958e-01 3.876080870888400920e-01 7.722208781666455302e-01 9.581891923659463517e-01 8.538506563740172473e-01 5.239377652621938219e-01 6.667543331161367437e-01 9.577156813287950321e-01 3.364241775687072389e-01 9.765213521666907814e-01
0.000000000000000000e+00 -3.061546208324326172e+11 7.450431345024610685e-02 1.715881679419177797e-01 9.334924277112196522e-01 3.570113530377047040e-01 4.189898408806129737e-01 5.319044507955772438e-02 2.860353423028364483e-01 8.388432787752301278e-01 8.202423354956389634e-01 1.790075899631641265e-01 7.274857779068284458e-01 9.871786623879580391e-01
0.000000000000000000e+00 -2.823705998105392456e+11 6.776170235704046529e-01 9.231292195129962019e-01 5.741620222740817514e-01 6.559559945707504891e-02 9.432292380621828398e-01 1.471191633212319827e-01 5.958963589539851835e-01 6.804236501571592211e-01 3.483647485429146595e-01 4.763699262695288983e-01 7.921802770174629638e-01 9.804191401040313059e-01
0.000000000000000000e+00 -2.572440826381750183e+11 2.830875889316855076e-01 4.362199244807810627e-01 2.458560228290943561e-01 6.877021592150834861e-01 5.220777287798311628e-01 3.764391624040671624e-01 7.827622786914789632e-02 9.802554561649657883e-01 7.568823612729511652e-01 3.089582238175551110e-01 6.832350856414850515e-01 9.900731315615757255e-01
0.000000000000000000e+00 -2.555350648013020630e+11 2.783528044511880406e-01 9.590500095365198652e-01 1.598657198375287303e-01 4.470253523797579343e-01 8.188846156153541944e-01 7.903279316796141263e-02 2.186016236510965882e-01 7.480751301258129482e-01 5.148839869194721253e-02 8.833578594226544345e-01 8.006230541629572039e-01 9.819217357258981371e-01
