metal tau age EBVgal Tdust fracPAH incl EBVbbb GA SB TO BB
1.715067399928995817e+00 5.180913501281428246e+00 7.341396343207335029e+00 7.375693944388059808e-01 2.403706478708074457e+01 1.686991329989933480e-02 2.328935005790055968e+01 6.941094207098209325e-03 6.891891345585893447e+00 6.656790243448501343e+00 6.902278800810165649e+00 4.570273042270267538e+00
1.697845832765639384e+00 7.816296531912154677e+00 7.381969965477672702e+00 7.095634591649200296e-01 2.465246799281608858e+01 3.071523577912481026e-02 4.805813823015343544e+00 8.501827056605999397e-03 6.898967265445033803e+00 6.644016488974749279e+00 6.867161863440724545e+00 4.527275771573934904e+00
1.743597210311008006e+00 1.202546038595126632e+01 8.839125233016655869e+00 7.279895085848224756e-01 2.320992368534997041e+01 3.380850821043821387e-03 3.665341674860227439e+00 1.838761133485899285e-02 7.770252404562960180e+00 6.695132170942773797e+00 6.842592762386150440e+00 4.547935189424279656e+00
1.664845471686809741e+00 1.299823651258409640e+01 7.631524556474513332e+00 7.369963925947295991e-01 2.468986557758556444e+01 2.724476606415200675e-02 3.136550516103483233e+00 1.474782011120627859e-02 7.064894416129092747e+00 6.602127003616548251e+00 6.836515700273725571e+00 4.572954293635129730e+00
1.502936449383172723e+00 2.096727024037012832e+00 7.175881381406647108e+00 7.540771281905085388e-01 2.388544025182684294e+01 2.456027348899426227e-02 5.741976564178862263e-01 9.137244840306186708e-03 6.867388807953570762e+00 6.640953131512404184e+00 6.869547498568952193e+00 4.547088392817146385e+00
1.757464938522158127e+00 5.326376358343331674e+00 9.303133257109712062e+00 6.874854094615406863e-01 2.441919692695231703e+01 2.716624660964154364e-02 1.828137737093035398e+00 1.250964411638462274e-02 7.976510411203800999e+00 6.632972626146841577e+00 6.891473084141239269e+00 4.571303638486284626e+00
1.538397963063522944e+00 3.985678798070785067e+00 9.109205733459839749e+00 7.648495494963375441e-01 2.492057257944833992e+01 3.675572683251842471e-02 9.975863642318401503e+00 1.422260567872656555e-02 7.871933547416361421e+00 6.552109610104871251e+00 6.864031697441802748e+00 4.564829904789604598e+00
1.872894699440414534e+00 1.165357068403822893e+01 9.260118990454129673e+00 7.087134337846276999e-01 2.419385724720359576e+01 2.943087288207945143e-02 4.644768926007120768e+00 7.095275997218963827e-05 7.882430795795198009e+00 6.662655568193528666e+00 6.863002394882681045e+00 4.543288913507568694e+00
1.568227841228338582e+00 9.574638849880496849e-01 8.897878048104237436e+00 7.929755675051065600e-01 2.517594412793239655e+01 1.770040926373549900e-02 1.346161309408619111e+01 3.627730902877735700e-03 7.890155103214407717e+00 6.599439571663772597e+00 6.815517822012679972e+00 4.527059078577428508e+00
1.678847462175488747e+00 1.012712256240344111e+01 8.943600274947517192e+00 7.587046343715647678e-01 2.391367357059348109e+01 4.278250707615287307e-02 4.657730561610776476e+00 1.216072736553505153e-02 7.750792397901488329e+00 6.671213468611767894e+00 6.878926991172381378e+00 4.584952798763792359e+00
1.768164778093884060e+00 3.440835253226777635e+00 7.036237704753359523e+00 7.975716978925602163e-01 2.447613147017870006e+01 2.669756784046001426e-03 2.216364940719994348e+00 1.341391184679917824e-02 6.879571350030278865e+00 6.616654941039566751e+00 6.864073061936341702e+00 4.554033560456986152e+00
1.889240483619433419e+00 3.177811630022237210e+00 7.830036021689287473e+00 6.975383633378977599e-01 2.352499022456208166e+01 2.637145373794716127e-03 1.033641703551447133e+00 5.474030408495513846e-03 7.157400513585010060e+00 6.663013987503635605e+00 6.865837704787207230e+00 4.532960716729858675e+00
1.744681921370780930e+00 3.865503358939229805e+00 9.018066798047636112e+00 7.282760041861079392e-01 2.544960131011532667e+01 4.477435855789044933e-02 1.459574183656464408e+00 4.790905179152811326e-03 7.844397132016617036e+00 6.595103910345819997e+00 6.854074443571320785e+00 4.566076394806568572e+00
9.349851594067599692e-01 1.183457447131302409e+01 1.296727437043091946e+01 7.820291849027345421e-01 2.423131877067923057e+01 4.479316520154317735e-03 3.620516560567719200e+00 1.750408052663817923e-02 8.421913496720829784e+00 6.646080114293614116e+00 6.883272754835850549e+00 4.615392374609374571e+00
1.628940843637420421e+00 6.147517686667471004e+00 8.901963541646031430e+00 6.813890433818394765e-01 2.534686125044756011e+01 3.292936673066701458e-02 3.308496699353946635e-01 1.846071639322940938e-02 7.667492924423328304e+00 6.586892597277692829e+00 6.870964385651767259e+00 4.597746901214399884e+00
1.541451804470376885e+00 4.119382923709759226e+00 9.074001551224426976e+00 7.714074744086296676e-01 2.518904544563156378e+01 2.210433801008862900e-02 9.805775042985871437e+00 3.925660651800044060e-02 7.854013806108458340e+00 6.582515681641723404e+00 6.850376949800871529e+00 4.617510159958630567e+00
1.515984078542805813e+00 1.017153593048032212e+00 7.106438786067616142e+00 7.946601284200807136e-01 2.447084995069354818e+01 4.443514081366228829e-02 6.776169320366289828e-01 4.920511119155263589e-03 6.907039666090334151e+00 6.639545710083368135e+00 6.859137865751382179e+00 4.540183990755464194e+00
1.966937590549669546e+00 3.331114738914923157e-01 8.068314899022691833e+00 7.412975102858009313e-01 2.437353079418275215e+01 4.971035129012502107e-02 5.914001382023138298e+00 1.676171180239382835e-03 7.373737208988721648e+00 6.623244557650505016e+00 6.826152991993676977e+00 4.549857648540587718e+00
1.500118342281055339e+00 5.086622934978710653e+00 8.077377011123576978e+00 7.540551504293167007e-01 2.469097124884867611e+01 5.095632257306026425e-02 1.022781850510526419e-01 1.944131145373485586e-03 7.353888791536064673e+00 6.634987414626934310e+00 6.826246800390595837e+00 4.539792562407384935e+00
6.820607852879083666e-01 9.419162236891912343e+00 1.203364638086973670e+01 7.003623444724929037e-01 2.325898218336931933e+01 2.972679569140859041e-02 1.107943592411681699e+01 2.046421973546503834e-02 8.388158991648221985e+00 6.703592263359091419e+00 6.872058631495384873e+00 4.577661881968522195e+00
1.635913282241697075e+00 4.691008045083906453e+00 9.011641329765726738e+00 7.591094075460891322e-01 2.532264727567301321e+01 5.121748180177631421e-02 4.932600218839374051e+00 8.572319668197743783e-03 7.841076056750743817e+00 6.609438005833393248e+00 6.816303292115740931e+00 4.589458073477757694e+00
1.803377475374520200e+00 2.919015736106710168e+00 7.014305801530891671e+00 7.953934875506543101e-01 2.468511823042193143e+01 2.675487229080055623e-02 3.723858234341927143e-02 2.751939038265997697e-03 6.867316794412964498e+00 6.619690925788901836e+00 6.847722692303900516e+00 4.534225336710981935e+00
1.558738568270569003e+00 1.183701332479397372e+01 7.309454673580801476e+00 7.023927630690098844e-01 2.480515941594429918e+01 1.067753646555589381e-02 2.107419704216843659e+00 9.031400363798356215e-03 6.887675057191525951e+00 6.600496976279455197e+00 6.894212647997232324e+00 4.520026571993247089e+00
1.674122324785182414e+00 1.235439763681046577e+00 7.107578107477036333e+00 7.493840476357939151e-01 2.431560586732029350e+01 5.576836635666584420e-03 4.802199429025084676e+00 4.083543687912923590e-04 6.877052192166932088e+00 6.635012267786578377e+00 6.863638710447116154e+00 4.520537860868760305e+00
1.827945517873195147e+00 9.083774782532708869e+00 9.009949164770414853e+00 7.524327334484951502e-01 2.434589333598003691e+01 7.299361881299691081e-03 3.585793527416908932e-01 3.083934001872542900e-03 7.834229978451357823e+00 6.613276054656164860e+00 6.869476547516907061e+00 4.557826470074155978e+00
1.545616931216249990e+00 1.222230797828633619e+01 8.491390344249841959e+00 7.079329426615725840e-01 2.532361806804458837e+01 1.150025693541489868e-02 1.385846344047433476e+01 1.190562892727435249e-02 7.524789807060933811e+00 6.561773940097683777e+00 6.881527803748049621e+00 4.534910942573063153e+00
