logz logzerr logvol nlive logl logwt insert_order
-7.950239169666427612e+10 1.274860798661475420e+09 -8.750000000000003608e-02 4.000000000000000000e+02 -7.562754653859706116e+10 -7.562754654467727661e+10 1.150000000000000050e-01
-7.562754654467727661e+10 1.677857168144743681e+09 -9.000000000000003830e-02 4.000000000000000000e+02 -5.641313896107482910e+10 -5.641313896715754700e+10 1.449999999999999900e-01
-5.641313896715754700e+10 9.612536966667444229e+09 -9.250000000000004052e-02 4.000000000000000000e+02 -5.225402118233409882e+10 -5.225402118841931152e+10 1.534999999999999920e+00
-5.225402118841931152e+10 7.514261049062863350e+09 -9.500000000000004274e-02 4.000000000000000000e+02 -4.379962727146903992e+10 -4.379962727755675507e+10 2.500000000000000139e-02
-4.379962727755675507e+10 4.168072408459348679e+09 -9.750000000000004496e-02 4.000000000000000000e+02 -3.906722960132033539e+10 -3.906722960741055298e+10 1.320000000000000062e+00
-3.906722960741055298e+10 4.878026172641932487e+09 -1.000000000000000472e-01 4.000000000000000000e+02 -3.537425168318432617e+10 -3.537425168927703857e+10 6.899999999999999467e-01
-3.537425168927703857e+10 4.995643073088327408e+09 -1.025000000000000494e-01 4.000000000000000000e+02 -1.396834718400676918e+10 -1.396834719010198402e+10 1.639999999999999902e+00
-1.396834719010198402e+10 1.382885476887589455e+10 -1.050000000000000516e-01 4.000000000000000000e+02 -1.073355002993630600e+10 -1.073355003603401947e+10 1.219999999999999973e+00
-1.073355003603401947e+10 6.754244305554006577e+09 -1.075000000000000538e-01 4.000000000000000000e+02 -9.358552087654092789e+09 -9.358552093754306793e+09 1.159999999999999920e+00
-9.358552093754306793e+09 1.538721291032068014e+09 -1.100000000000000561e-01 4.000000000000000000e+02 -8.542261681696904182e+09 -8.542261687799618721e+09 1.090000000000000080e+00
-8.542261687799618721e+09 1.032983233670938969e+09 -1.125000000000000583e-01 4.000000000000000000e+02 -5.057864083249204636e+09 -5.057864089354418755e+09 9.749999999999999778e-01
-5.057864089354418755e+09 2.162941062890982151e+09 -1.150000000000000605e-01 4.000000000000000000e+02 -3.694580053550051212e+09 -3.694580059657765388e+09 1.985000000000000098e+00
-3.694580059657765388e+09 2.392761005672690392e+09 -1.175000000000000627e-01 4.000000000000000000e+02 -2.841170614233432293e+09 -2.841170620343646526e+09 1.425000000000000044e+00
-2.841170620343646526e+09 1.523801787862394333e+09 -1.200000000000000649e-01 4.000000000000000000e+02 -2.727834539156796932e+09 -2.727834545269511223e+09 1.274999999999999911e+00
-2.727834545269511223e+09 3.471101492179551721e+08 -1.225000000000000672e-01 4.000000000000000000e+02 -2.132717920197842360e+09 -2.132717926313056707e+09 1.659999999999999920e+00
-2.132717926313056707e+09 3.177741929243542552e+08 -1.250000000000000555e-01 4.000000000000000000e+02 -1.627492434764103413e+09 -1.627492440881817818e+09 1.300000000000000044e-01
-1.627492440881817818e+09 3.676672150392534137e+08 -1.275000000000000577e-01 4.000000000000000000e+02 -1.624507058330217123e+09 -1.624507064450431347e+09 9.699999999999999734e-01
-1.624507064450431347e+09 3.521435777896741033e+08 -1.300000000000000600e-01 4.000000000000000000e+02 -1.327996376320367813e+09 -1.327996382443082094e+09 2.600000000000000089e-01
-1.327996382443082094e+09 2.369940621506537497e+08 -1.325000000000000622e-01 4.000000000000000000e+02 -1.135393734027445555e+09 -1.135393740152659893e+09 1.024999999999999911e+00
-1.135393740152659893e+09 2.799505878612479568e+08 -1.350000000000000644e-01 4.000000000000000000e+02 -9.233493221844414473e+08 -9.233493283121557236e+08 4.500000000000000111e-01
