metal tau age EBVgal Tdust fracPAH incl EBVbbb GA SB TO BB
5.741600795938972546e-01 1.271613295447546221e+01 1.266705089551929575e+01 2.326733135573665900e-01 3.189349775520715013e+01 2.291679920896495110e-02 3.778744085187866375e+01 1.202803251900651377e-01 7.481495317762810515e+00 5.053715009754855103e+00 6.869628224114872950e+00 4.148817923076798309e+00
5.970739327635573579e-01 6.846541169734239318e+00 1.116266416610784162e+01 5.000055085274907052e-02 3.678056460804701544e+01 1.401498897897563746e-02 3.792281140810578677e+01 1.303015040409608583e-01 7.398586360971567188e+00 5.330944325180514198e+00 6.825250880806152054e+00 4.090187664534019163e+00
9.366593982435551524e-01 1.095744043638103982e+01 9.842069837243071717e+00 1.317176506695398319e-01 3.924324749536837942e+01 1.274194927202379479e-02 3.095690014301608528e+01 1.611700564522958457e-01 7.351180275901377570e+00 5.336914675416464249e+00 6.781462442505016952e+00 4.151748234044152497e+00
4.661026154338368532e-01 7.295367808774292584e+00 1.252517321734295130e+01 6.065445861243365377e-02 3.984188013404641282e+01 3.003484354419426808e-03 3.105605476125127495e+01 1.643953209205505639e-01 7.351139242524808992e+00 5.617900582679959953e+00 6.813771867576651431e+00 4.163365198972462267e+00
6.073011477320097162e-01 1.051960746796435409e+01 1.286375881126230958e+01 3.745254996958174987e-01 3.415718993840226858e+01 4.770447676024336392e-02 3.919621776214396647e+01 1.595478367438502576e-01 7.570076631279178514e+00 4.373284193328162317e+00 6.881929757448993712e+00 4.242828752618885702e+00
2.581930019007579458e-01 3.274650072489382335e-01 8.116829884028442521e+00 3.690750262682822025e-01 3.668649544841154153e+01 1.680551858855945657e-02 4.711241324351606607e+01 1.842944173222827442e-01 6.623548985387429866e+00 5.092722357603854277e+00 6.925877804445850217e+00 4.168196114438227795e+00
3.722756489827592219e-01 5.685826122101123481e+00 9.540826641833959343e+00 2.161324286438583986e-01 4.034419754864546093e+01 1.865817394799725720e-02 3.428445952469785851e+01 1.447542212706326992e-01 7.134516913405196448e+00 5.322137529859858773e+00 6.817254693781908514e+00 4.163172601537265649e+00
6.649459036955686075e-01 1.165348468072632038e+01 1.078467405466168572e+01 1.831814524384148268e-01 3.801945735729749742e+01 1.746071105614937233e-03 4.986042213002573931e+01 1.536932918102919543e-01 7.501796344766198388e+00 4.471389917767183420e+00 6.945833558825633247e+00 4.137464119944411323e+00
4.657085192789035544e-01 9.065484982796444768e+00 1.207560056640913260e+01 5.257248646448441781e-02 4.009930390479177476e+01 2.512127912282182589e-04 2.505051891723608648e+01 1.927055255360842212e-01 7.363298259706418492e+00 5.663430096689797466e+00 6.793534262430394932e+00 4.176640085237954381e+00
6.475541781303822964e-01 7.192642922750156487e+00 1.220068245149627728e+01 5.843585168985805656e-02 3.904321071748689320e+01 4.973713490054483544e-02 2.561084245503596435e+01 1.461119926750076015e-01 7.403657441148030927e+00 4.731722550341974198e+00 6.792823824349774497e+00 4.095725849868257384e+00
4.529072492168013109e-01 9.971673244637475619e+00 1.164959413570602109e+01 1.964321041348187080e-01 4.138591478203062479e+01 1.895470079251269577e-02 3.241265344274081173e+01 1.358507080126029609e-01 7.504560039646737124e+00 5.437657542341634453e+00 6.745172401294258435e+00 4.138806868094519587e+00
7.948415386923435300e-01 1.152339469516537385e+01 9.936770613472084790e+00 5.416982551977468641e-02 4.008516769065820995e+01 6.193150833023202198e-03 3.425905885959191011e+01 1.948112002197009696e-01 7.300742703662514543e+00 5.358863309088109261e+00 6.816853503249241442e+00 4.273232052689184712e+00
7.759630163633217670e-01 1.109078986321817872e+01 1.288851112272813282e+01 5.063929587538508470e-02 3.929640479837587463e+01 2.049190763035973681e-02 3.771174800260779847e+01 1.859193384995726506e-01 7.362531533528077432e+00 5.211136899702797365e+00 6.834393882607560755e+00 4.205158621005502084e+00
1.389464265881262151e+00 1.294495015386566195e+01 1.233024592038237977e+01 6.102450642362883954e-02 3.941660452755476030e+01 2.096714951706707061e-02 3.448044995090957343e+01 1.629565915053163005e-01 7.347159160392237709e+00 5.250393453745246575e+00 6.795041526725125181e+00 4.150675234950007564e+00
1.229941036609718319e+00 9.378206575348517759e+00 9.855448067047781535e+00 6.551717394923935178e-02 3.802566529884223456e+01 1.920367492371537546e-02 2.582545347761637800e+01 1.857367596480147820e-01 7.268445313015885034e+00 5.323262115616390844e+00 6.796730680850849637e+00 4.166626045615400287e+00
7.747749708418825154e-01 1.312723921294222862e+01 1.182479223248398448e+01 5.373665606790969246e-02 3.545649610386824691e+01 7.023312561887440526e-03 4.453802528584476761e+01 1.516476347697707783e-01 7.405765163059445655e+00 5.355596836407451988e+00 6.875181756484497697e+00 4.090830191087309942e+00
5.995617364837023677e-01 5.901657660829926044e+00 1.302592319218350170e+01 8.059774305654306137e-02 3.400667641162494448e+01 2.030007784150402242e-02 3.316380875352417945e+01 1.531729063337961272e-01 7.381288293181398785e+00 5.272436118361884638e+00 6.811119429796526958e+00 4.190104338995823241e+00
3.017534913097106308e-01 7.132064163212914032e+00 1.020332809402168728e+01 8.163456464674273549e-02 4.001897460039423038e+01 5.338199917685985951e-02 4.322920936753331489e+01 1.426708833157468159e-01 7.394593484306181352e+00 5.099257134317817020e+00 6.837623281787816865e+00 4.154716439481225265e+00
3.506418884216808141e-01 5.591505217542742656e+00 1.007585753878317014e+01 1.104174216354376070e-01 3.829670710414449530e+01 7.476025624575547389e-03 4.440897593527687093e+01 1.129656295304739128e-01 7.511834579608841267e+00 4.478647084999700212e+00 6.861437576312376052e+00 4.066517559537343729e+00
