#freq res
9.1563 9.4573
13.1160 2.4656
13.1399 2.2799
13.3962 -0.8299
13.5961 -1.0153
13.7313 -0.4007
13.8218 0.6549
13.8365 0.9387
13.9386 2.3901
13.9585 2.5040
14.1520 2.1694
14.2707 0.4043
14.3906 -0.7746
14.5035 -1.0259
14.5218 -0.5862
14.5349 -0.0585
14.5488 0.3527
14.6007 0.3407
14.6097 0.2150
14.6122 0.1951
14.6884 0.0379
14.6939 0.0570
14.6959 0.0689
14.7525 0.4020
14.7944 -0.3806
14.8001 -0.2655
14.8134 -0.4504
14.8479 -1.1292
14.9046 -0.3948
14.9356 -0.0324
14.9457 0.0591
14.9463 -0.1208
15.0626 -0.9071
15.1249 -0.3691
15.1337 -0.3222
15.1695 -1.0323
15.3066 2.2943
17.2747 9.9981
17.5729 9.9954
17.9018 9.9842
18.2309 9.9293
