# metal tau age EBVgal Tdust fracPAH incl EBVbbb GA SB TO BB logMstar SFR_opt LIR(8-1000) Lbb(0.1-1) Lbbdered(0.1-1) Lga(01-1) AGNfrac(0.1-1) Ltor(1-30) LAGN(0.1-30) AGNfrac(8-1000) Lgal(0.4-0.5) Lbbb(0.4-0.5) AGNfrac(0.4-0.5) Ltor(6) Lsb(1-30) SFR_IR log_like logz
0.9099 12.3747 11.8252 0.0652 39.1413 0.0020 33.8639 0.1483 7.4480 5.7674 6.7850 4.0750 10.0857 1.2295 43.1443 43.7059 44.2757 43.5083 0.6119 44.1430 44.2935 0.8660 42.5680 42.8227 0.6425 43.7345 41.8135 0.5409 -267.4369 -298.8986
1.0845 8.2615 11.6914 0.1060 37.1944 0.0043 27.8021 0.1637 7.4090 5.6753 6.7978 4.2118 10.0857 1.2295 42.7601 43.7568 44.1300 43.5210 0.6325 44.1514 44.3093 0.9435 42.6651 42.7784 0.5649 43.7552 41.3161 0.2233 -267.8064 -299.0304
0.5566 8.4232 12.9223 0.0615 40.9761 0.0054 25.1490 0.1326 7.4203 5.5070 6.7864 4.0351 9.6289 5.1596 43.3157 43.7251 44.2093 43.5376 0.6063 44.1144 44.2766 0.8190 42.6130 42.8032 0.6078 43.7333 42.5415 0.8026 -273.0468 -299.6940
0.6769 11.5032 12.6625 0.1047 37.4856 0.0104 25.3108 0.1655 7.3764 5.6415 6.7905 4.1612 9.9566 1.0487 43.8379 43.7093 44.1096 43.5780 0.5750 44.1319 44.2821 0.5604 42.6800 42.7453 0.5375 43.7233 43.1457 2.6716 -269.9145 -299.2884
0.6678 6.7066 11.8036 0.0798 40.7523 0.0065 43.0216 0.1415 7.4097 4.6182 6.8581 4.1144 9.8772 0.8227 43.1894 43.6463 44.0435 43.6266 0.5114 44.1356 44.2673 0.8513 42.7349 42.6807 0.4688 43.7270 42.3088 0.6002 -273.1674 -300.8488
0.7525 7.2602 10.7743 0.0926 41.4128 0.0121 39.9465 0.1536 7.4584 5.4720 6.8214 4.1433 9.9430 0.9430 43.3510 43.7615 44.1992 43.4795 0.6569 44.1199 44.2908 0.7920 42.5538 42.8168 0.6469 43.7114 42.5391 0.8706 -275.5553 -298.9072
0.8466 11.3668 13.0034 0.1516 38.8267 0.0052 38.3338 0.1515 7.4756 4.3661 6.8706 4.1881 9.8796 1.9910 43.1063 43.7992 44.2673 43.3419 0.7413 44.1413 44.3184 0.8803 42.4251 42.8695 0.7356 43.7451 42.0945 0.4956 -268.3031 -299.1436
0.2064 11.0528 12.1930 0.0625 40.2987 0.0028 23.2958 0.1745 7.3186 5.7454 6.7277 4.1268 9.9662 1.1084 44.1195 43.6861 44.1894 43.5851 0.5579 44.1064 44.2599 0.3861 42.6358 42.7732 0.5784 43.6979 43.2760 5.1088 -281.8093 -298.9556
0.5525 8.7566 12.3361 0.1235 41.9349 0.0213 28.3153 0.1415 7.4131 5.4185 6.8103 4.1454 9.9510 0.9232 42.5634 43.7796 44.1464 43.4593 0.6765 44.1384 44.3074 0.9606 42.6650 42.7978 0.5758 43.7298 41.0983 0.1420 -270.4111 -300.0521
1.0428 7.3191 9.4926 0.1786 40.8623 0.0010 42.2870 0.1667 7.2208 5.4476 6.8455 4.1288 9.9437 0.8376 42.9898 43.7350 44.3732 43.5141 0.6245 44.1376 44.3007 0.9100 42.5688 42.8791 0.6714 43.7565 42.2644 0.3790 -277.3389 -305.8258
1.3160 12.1818 10.5380 0.0827 41.3956 0.0062 33.0396 0.1581 7.3871 5.5059 6.7820 4.1502 9.3095 10.3455 44.0110 43.6845 44.1995 43.5971 0.5501 44.1124 44.2640 0.4501 42.6737 42.7770 0.5592 43.7039 43.1218 3.9795 -269.6807 -299.2012
0.5195 12.4990 11.6266 0.0787 39.8426 0.0397 7.0878 0.1558 7.2437 4.5277 6.7197 4.1737 9.7171 0.8673 44.0066 43.7575 44.2313 43.4645 0.6625 44.1233 44.2928 0.4588 42.5375 42.8306 0.6626 43.7147 43.1235 3.9394 -267.0007 -299.1813
0.2558 11.5703 12.1106 0.1295 41.5187 0.0009 31.4596 0.1267 7.4059 5.5512 6.8004 4.0657 10.1415 1.0030 43.1381 43.7409 44.2254 43.5172 0.6260 44.0973 44.2700 0.8675 42.5650 42.8191 0.6422 43.7161 42.3217 0.5333 -266.7957 -298.9266
0.4825 7.6280 10.7575 0.0520 41.1467 0.0002 34.6687 0.1148 7.4320 5.6074 6.7818 3.9959 9.9566 1.0487 42.8411 43.6629 44.2108 43.5811 0.5470 44.1511 44.2867 0.9297 42.7046 42.7702 0.5377 43.7426 41.8826 0.2691 -266.5597 -300.0059
0.3705 11.8267 12.4299 0.0671 40.0620 0.0050 34.7827 0.1748 7.3405 5.5481 6.7907 4.1409 9.6549 2.4904 44.0085 43.6924 44.2738 43.5427 0.5854 44.1151 44.2702 0.4531 42.6112 42.8140 0.6147 43.7066 43.1390 3.9565 -270.4156 -299.8110
0.6322 9.2532 11.6971 0.0809 40.9573 0.0075 34.3180 0.1721 7.3632 5.5375 6.7830 4.1696 10.1052 1.2857 43.1305 43.7418 44.1652 43.5476 0.6100 44.1233 44.2865 0.8644 42.6928 42.7898 0.5556 43.7147 42.3314 0.5240 -267.8264 -299.4548
0.6721 12.3274 10.7339 0.1847 32.2593 0.0318 36.7410 0.1880 7.2836 5.6143 6.8555 4.2991 9.9335 0.9448 43.0708 43.8354 44.2972 43.3225 0.7651 44.1666 44.3472 0.8943 42.4525 42.9026 0.7382 43.7704 42.1811 0.4567 -271.9922 -300.9558
1.3018 12.0249 9.5472 0.1405 14.3212 0.0276 48.7439 0.1645 7.1360 7.4732 6.9079 4.1698 9.9973 1.0849 42.8426 43.7720 44.3142 43.4654 0.6695 44.1496 44.3173 0.9358 42.5013 42.8768 0.7036 43.7685 42.1726 0.2700 -267.1772 -298.9803
1.2852 8.7801 7.1008 0.5951 29.4278 0.0016 64.8305 0.1573 6.3951 5.6275 6.9240 4.1643 9.7614 1.4483 43.8098 43.6925 44.2616 43.5728 0.5685 44.1401 44.2875 0.5809 42.6192 42.8089 0.6075 43.7315 42.9486 2.5040 -268.6368 -305.2078
0.5679 12.9559 12.7866 0.2463 41.0671 0.0057 35.7800 0.0925 7.5067 5.8029 6.8277 4.0945 9.7614 1.4483 43.1842 43.6983 44.2599 43.5496 0.5848 44.1462 44.2933 0.8558 42.6005 42.8116 0.6192 43.7376 42.0570 0.5930 -271.8988 -298.9233
0.4976 4.0571 13.1212 0.0535 36.3768 0.0451 35.8316 0.1471 7.4566 4.4969 6.8628 4.1518 10.0857 1.2295 42.8755 43.7035 44.1331 43.5464 0.5895 44.1329 44.2818 0.9247 42.6921 42.7547 0.5360 43.7367 42.1715 0.2913 -270.9092 -298.8990
0.2744 5.3343 11.1074 0.0826 41.3651 0.0063 19.7559 0.1237 7.3981 5.4456 6.7478 4.0963 9.9452 1.0403 44.1083 43.7244 44.2532 43.5160 0.6177 44.1139 44.2775 0.3963 42.5765 42.8232 0.6383 43.7054 43.2726 4.9786 -276.6845 -298.9172
1.5077 10.6802 9.2028 0.1322 27.4111 0.0060 40.8749 0.2052 6.9073 5.8771 6.7915 4.1817 9.9336 0.9369 43.9688 43.7958 44.2112 43.4328 0.6976 44.0999 44.2886 0.4580 42.5289 42.8397 0.6717 43.6840 43.1869 3.6114 -271.5984 -299.4416
0.4762 11.7667 12.2010 0.1057 41.0715 0.0066 26.4048 0.1699 7.3353 5.1294 6.8074 4.2201 9.9677 1.1014 43.5277 43.7080 44.2428 43.5167 0.6084 44.1246 44.2801 0.7192 42.5980 42.8095 0.6194 43.7160 42.8715 1.3078 -269.9457 -306.8375
0.4981 4.4461 8.3820 0.4669 15.1300 0.0477 53.1032 0.1207 6.8693 6.7367 6.9047 4.1184 9.8500 1.2125 43.0555 43.7105 44.2337 43.6004 0.5630 44.1421 44.2927 0.8923 42.6501 42.8068 0.5893 43.7459 42.3843 0.4409 -270.2505 -307.1314
