#Table1
sii_6717_flux,sii_6731_flux,nii_6584_flux,oi_6300_flux,oiii_5007_flux,h_alpha_flux,h_beta_flux,h_alpha_eqw,nii_6584_eqw,oiii_sigma,w1mpro,w2mpro,w3mpro,z,class,subclass,bestobjid
36.06995,24.54501,25.88362,8.596091,20.9408,110.7399,33.48423,-10.76173,-2.290469,19.85822,14.378,14.355,11.268,0.02165231,GALAXY,STARFORMING,1237650795146051733
119.1277,90.24107,229.4589,16.17338,107.4063,724.7258,194.5769,-61.5685,-19.06683,72.19633,14.387,14.1,10.465,0.06259136,GALAXY,STARBURST,1237648721215750297
202.7181,165.0395,427.1596,66.43319,130.8339,850.1395,109.6307,-70.00072,-34.79908,182.6936,13.327,12.698,8.418,0.1458226,GALAXY,STARBURST,1237648721215684769
51.00497,35.24282,88.04391,6.83234,25.31132,270.9315,57.52115,-34.70731,-11.28141,104.5559,14.426,14.262,10.376,0.09768173,GALAXY,STARBURST,1237648721215684828
77.38689,56.07576,155.741,9.307892,27.63784,486.8309,103.9028,-41.86084,-13.29644,59.07893,14.004,13.822,9.654,0.09832241,GALAXY,STARBURST,1237648721215750276
41.75854,27.16348,96.59939,8.76641,9.987125,271.3318,53.21636,-23.29278,-8.026397,73.08759,13.927,13.699,9.889,0.09113582,GALAXY,STARFORMING,1237648721215684759
14.30115,10.91127,5.879836,5.87573,23.40424,57.26432,17.53957,-10.18318,-0.3435055,45.80909,15.586,15.199,12.281,0.03036259,GALAXY,STARFORMING,1237650795682922788
41.83834,31.73342,80.86584,6.69829,24.30521,222.7212,49.36584,-26.85813,-11.55181,61.25251,13.922,13.63,9.962,0.09888671,GALAXY,STARFORMING,1237650794609049641
110.6196,83.91689,313.3217,20.6252,80.88867,655.6909,157.7448,-40.14523,-19.18834,79.73035,14.174,13.883,9.966,0.1259125,GALAXY,STARBURST,1237648720678682916
39.06112,27.54781,54.15761,5.204991,17.00939,150.1607,33.75164,-14.91901,-5.327593,35.23406,14.054,13.933,10.332,0.03587863,GALAXY,STARFORMING,1237650795682791626
34.1601,27.52038,95.93489,10.83336,15.87008,176.6181,32.73176,-9.829779,-5.282861,57.49265,13.6,13.293,9.683,0.09001952,GALAXY,STARFORMING,1237648721215553783
41.65935,34.42803,61.65749,7.241577,34.71779,210.204,52.01683,-26.56043,-8.090528,71.41546,14.623,14.446,10.699,0.09826267,GALAXY,STARFORMING,1237648704023625805
32.14695,18.09337,52.34507,8.414385,22.76943,109.4993,33.09707,-8.422091,-3.909153,86.3103,14.395,14.236,11.029,0.07141443,GALAXY,STARFORMING,1237650794609049737
33.76559,26.44269,68.26641,12.11208,28.0456,133.9965,32.09054,-10.1271,-5.094373,115.8002,14.634,14.364,12.023,0.118615,GALAXY,STARFORMING,1237648720141746448
32.69051,28.50644,58.15033,5.584886,15.69489,179.5962,50.89903,-31.78715,-10.86214,66.03367,15.083,14.706,10.822,0.1315616,GALAXY,STARFORMING,1237650795145920715
33.83809,21.1949,85.18291,10.96476,16.05515,237.9509,51.20065,-19.00164,-6.858284,151.0624,14.214,13.901,10.451,0.1504413,GALAXY,STARFORMING,1237650795145855144
78.33469,57.55163,151.7201,12.69689,25.6267,390.5861,100.7561,-19.7645,-7.593453,86.67355,13.726,13.573,9.961,0.05195406,GALAXY,STARFORMING,1237650795682791578
