metal tau age EBVgal Tdust fracPAH incl EBVbbb GA SB TO BB
9.624312024494765527e-01 6.015325683133957213e+00 7.408707233228279065e+00 7.468121542304919647e-01 1.911329687013293466e+01 4.477309802974743097e-02 3.442916617066763507e+01 3.637336106685980230e-02 6.469458334246752429e+00 5.771302923684656250e+00 6.472187104105696420e+00 3.842924544822974298e+00
1.089351884097075951e+00 5.819555412566767671e+00 7.489287484583090126e+00 7.667952803481341562e-01 3.377512139632661814e+01 1.866006612007019283e-02 2.516390898204971904e+01 8.187767201235728043e-02 6.420464976778902155e+00 4.000863621698215411e+00 6.463099641255663386e+00 3.941625026475858107e+00
1.911852956166906203e+00 1.085080456129114701e+01 7.880010994617396847e+00 5.944847890286426573e-01 4.056365410189319221e+01 1.607184827472083605e-02 4.082214578732006061e+01 7.196187435394718612e-02 6.488925308256519031e+00 3.948269232782685378e+00 6.506148547732092169e+00 3.911209880239571390e+00
8.562528696850768561e-01 5.603420641718504847e+00 1.048241103596055979e+01 6.810734285528602383e-01 2.802451613683486542e+01 3.336533173809090591e-02 3.836605204699989713e+01 1.962440061747242614e-01 7.687681989455960263e+00 4.580061946360922676e+00 6.532947201200016707e+00 4.135598553422738632e+00
1.364235339907286182e+00 1.988937260797927209e+00 8.994997077875421354e+00 7.827333858186837912e-01 3.861266616779068528e+01 2.050359325652194309e-02 4.145267255417666519e+01 6.311872083597593053e-02 7.283355640555271293e+00 3.937916478253908892e+00 6.525509574635279364e+00 3.890667350126763679e+00
1.518945812562469300e+00 2.675170214288403958e+00 9.734909575531693449e+00 4.936883170681563571e-01 3.584606351881899400e+01 1.730844527239512251e-02 4.066957395206151915e+01 6.159294134781134744e-02 7.453275101891392751e+00 4.243474893684144433e+00 6.523647240886585763e+00 3.928092561810927918e+00
3.167213369164073034e-01 4.598195699985355489e+00 9.215206116146761772e+00 7.972635994821903882e-01 3.793145142257895941e+01 1.312747493234139168e-02 4.237924811680590409e+01 6.518433458471763198e-02 7.331210808047000427e+00 3.520451016512582854e+00 6.527684445720151274e+00 3.880364947712624968e+00
1.850561468283067335e+00 1.220669858545708131e+01 7.810085695878552947e+00 6.645049280353125809e-01 2.362561543357633909e+01 1.486563178877824652e-03 3.631065929212000754e+01 2.230432121972080184e-01 6.425916048328062402e+00 5.169900418041324386e+00 6.510131589895664206e+00 4.067491140615736356e+00
6.127711208415913546e-01 1.159385610184062365e+01 1.106807891573529901e+01 6.677109670763871074e-01 2.359193507826282143e+01 5.330609390288680756e-03 3.511261530807567510e+01 1.366418499687166999e-01 7.713520801118690429e+00 4.906189281059962326e+00 6.538891775760610869e+00 3.987435966595374026e+00
1.592855718073175275e+00 2.209973268183758499e+00 9.177430962208013909e+00 5.972806342258895063e-01 1.757859967629332232e+01 2.568188652764654550e-02 3.127636910787817115e+01 6.120080671689383939e-02 7.194043943385441509e+00 5.479111702202798639e+00 6.472737551715212589e+00 3.892396374893642985e+00
1.012197896755861581e+00 7.364079755788806025e+00 1.064183258951310407e+01 7.489090180311451794e-01 2.251451294856865815e+01 8.763891883425837040e-03 5.385967322998800455e+01 1.319678402975861808e-01 7.756822707814517770e+00 4.925051043841197185e+00 6.582066018059428814e+00 4.052831221452297683e+00
1.602635823396279191e+00 8.852106724167350116e-01 7.722904972193600059e+00 7.452122923618689221e-01 4.194730969564420064e+01 3.690251755508325293e-02 5.833160111628880173e+01 1.384523259823182140e-01 6.477299466342220313e+00 3.447325971052528359e+00 6.648580012187213839e+00 4.022041908276039024e+00
1.483534823929458568e+00 5.001822883519661644e+00 9.552777823572819571e+00 6.850699742883299415e-01 3.950430191444593220e+01 4.176209102186510119e-02 4.218750268246309076e+01 9.495068888794933049e-02 7.431636413663898821e+00 3.659263427816307868e+00 6.558654117594528543e+00 3.942536718821912700e+00
1.248038147597978265e+00 7.152948944686308153e+00 1.158971907691592307e+01 5.360172743253385219e-01 1.509488273893284394e+01 4.304654277645869080e-06 4.525708966797288468e+01 5.632600276158587077e-02 7.687647798405507160e+00 6.059692721485166800e+00 6.589830376622053620e+00 3.902199070080349941e+00
1.519459120865157109e+00 4.502784734916657428e+00 7.997363388133364559e+00 5.976590355579388669e-01 3.936423538856969628e+01 4.779397734813884552e-02 3.715677957667911357e+01 7.784593668596163918e-02 6.516058920183748882e+00 3.975656838800336601e+00 6.533579381145337095e+00 3.903367006018683583e+00
1.777959601785558563e+00 4.937705463308550868e+00 9.489930625429554567e+00 6.719093272003520134e-01 2.118902502539641119e+01 5.120576305756543989e-02 4.636098227059603971e+01 4.621898382767936769e-02 7.423824058654911795e+00 4.888899358797900163e+00 6.553060582771507825e+00 3.898476973367017706e+00
1.461686923369403868e+00 1.618517280245510337e+00 1.047694649149434909e+01 4.434270835765225516e-01 2.638130699005438373e+01 3.011338458916651070e-02 3.283160348668770467e+01 3.510639189079832814e-03 7.846675025674667125e+00 4.390870401637428699e+00 6.502994225760708957e+00 3.824529562612848821e+00
4.706553578148343076e-01 7.631946244135622059e+00 1.178647957491813614e+01 7.314839679224457436e-01 2.191354912573987690e+01 4.437193725144304712e-02 4.216692559477470326e+01 1.058218325092951384e-01 7.693199306257977099e+00 5.257395507836035264e+00 6.539138979220172843e+00 3.972445954320917849e+00
1.504583476190695546e+00 4.329491268797214687e+00 8.290452110057326962e+00 6.739400600730498514e-01 4.130665122234905340e+01 2.374388627567836779e-02 3.640472830244373625e+01 1.575131107918934237e-01 6.709939651783088266e+00 3.384246438327526363e+00 6.503444762517041511e+00 4.030425931950327723e+00
2.726917025981974163e-01 3.997910215704811865e+00 9.611275694109277623e+00 7.707399436409524407e-01 3.118850833218698426e+01 2.408597976096215482e-02 2.023934518220059786e+01 8.949738354878224167e-02 7.583012914746479538e+00 4.373781947948895521e+00 6.432492531251014611e+00 3.969908432222757355e+00
5.752440887017689075e-01 6.011621833626037414e+00 1.039238695097900056e+01 7.760174590383592808e-01 3.563587139636790369e+01 5.126494679842489438e-02 3.955573780515663174e+01 1.337129560882323320e-01 7.802985319853835477e+00 3.656731623969825762e+00 6.551962168353796301e+00 3.996179521378211419e+00
6.246833179308721729e-01 7.431661575772088746e+00 9.257780365992964278e+00 7.383841265568643619e-01 3.913239212089236219e+01 3.044857240609327373e-02 2.529832307866530172e+01 7.130232426868332585e-02 7.250148734820168528e+00 4.207154440370377557e+00 6.506060987872395174e+00 3.939032899842320745e+00
3.013587010372951180e-01 6.033886169411410094e+00 1.248351828018124721e+01 7.459592673275063923e-01 4.036120677090924147e+01 3.211191758920979578e-02 4.269972966857466190e+01 1.607287993381950053e-01 7.799075869038741615e+00 3.852487209365216714e+00 6.538337120635187460e+00 4.038681617889368525e+00
4.081717150081703993e-01 7.856155215647400603e+00 1.221269953206413561e+01 7.955645943144398213e-01 3.195037872437969639e+01 4.062511041942201695e-02 3.882459558117474785e+01 1.215202848680375924e-01 7.727811844582372913e+00 4.520315854409655998e+00 6.511226004179178517e+00 4.023564766212277988e+00
1.244638003055818398e+00 9.646569676697051676e+00 9.637526541876308528e+00 6.805258283238619921e-01 3.723145927214138595e+01 3.095586168340291877e-02 3.679186868979627434e+01 1.221981875535891465e-01 7.469653943003496721e+00 3.438513773626308279e+00 6.541646495128709660e+00 4.034683903691643536e+00
1.827749189590476497e+00 3.144127845113877218e+00 8.564556118051068978e+00 7.867755867643710932e-01 3.742431604290176494e+01 4.715861608747153044e-02 4.972837982400103840e+01 1.192229156380358035e-01 6.922807465516850556e+00 4.115208022399416521e+00 6.569673532630407209e+00 4.020256741874179696e+00
1.784506919162330396e+00 9.747788729773990468e+00 7.945030378906318802e+00 7.937875265491904919e-01 3.922878458945761793e+01 5.146303236817077048e-02 3.763510217929987078e+01 1.786182509267704166e-01 6.569085873228960537e+00 3.609238885793173424e+00 6.514121188553893660e+00 4.076629626435144260e+00
8.529106609190562072e-01 5.917149000775578926e+00 7.474542107526441548e+00 6.756160289143985365e-01 2.862081871644421227e+01 4.066948111560537982e-02 2.919798769303071140e+01 2.187133903700094750e-02 6.385448577275546711e+00 4.447010644637430232e+00 6.495205687300103392e+00 3.815203522810918457e+00
1.741240352912243550e+00 5.946933798359175682e+00 7.541121153157111401e+00 6.658455539069360052e-01 3.805247467937687844e+01 3.648565684608699039e-02 5.116376990898482546e+01 1.155394578925161148e-01 6.315121043413153501e+00 4.040651286483278426e+00 6.559858007660007928e+00 3.949888647230466177e+00
1.343858147061638197e+00 1.032089678148379086e+01 8.257186856920162299e+00 7.342153680099594570e-01 4.088452650598395621e+01 3.356451964971535196e-02 2.066877908326258861e+01 7.845305360864747446e-02 6.827922248677520400e+00 4.099115997101330677e+00 6.436896479164229135e+00 3.855213800319356565e+00
1.965742327053944694e+00 3.675362029754346338e+00 8.886349339599906472e+00 6.157395054264604983e-01 2.663974616088594871e+01 2.315538560845818369e-02 3.994325700565732973e+01 5.937682021556334178e-02 7.007550292581640861e+00 5.099633847396569664e+00 6.526093922306749562e+00 3.877591292901643172e+00
1.092014946455372115e+00 1.246341564833448956e+01 1.108149558360939224e+01 7.912648609285739543e-01 3.553632296361279685e+01 4.202215756908923849e-02 4.533528964305423870e+01 1.194542706993556580e-01 7.806182908547782517e+00 3.866502806210267096e+00 6.576000992131557865e+00 4.011685283475316055e+00
