# metal tau age EBVgal Tdust fracPAH incl EBVbbb GA SB TO BB logMstar SFR_opt LIR(8-1000) Lbb(0.1-1) Lbbdered(0.1-1) Lga(01-1) AGNfrac(0.1-1) Ltor(1-30) LAGN(0.1-30) AGNfrac(8-1000) Lgal(0.4-0.5) Lbbb(0.4-0.5) AGNfrac(0.4-0.5) Ltor(6) Lsb(1-30) SFR_IR log_like logz
1.2270 1.7032 10.3694 0.7786 28.2797 0.0105 19.6076 0.0015 8.1954 6.5293 7.0580 4.5255 10.8385 6.9945 44.2425 44.8429 44.8525 43.1883 0.9783 44.7007 45.0886 0.6366 41.8736 43.6424 0.9833 44.2807 43.0080 6.7816 -344.1751 -381.8972
1.5634 5.4007 11.9187 0.7981 29.9067 0.0043 23.3411 0.0012 8.0680 6.4167 7.0169 4.5214 10.3901 14.5822 44.2695 44.8629 44.8634 43.1591 0.9806 44.6538 45.0822 0.5945 41.7680 43.6562 0.9872 44.2336 43.0428 7.2169 -351.2593 -384.1099
1.5190 3.6148 9.7962 0.7994 28.3405 0.0198 30.9180 0.0000 7.9491 6.5184 7.0591 4.5198 10.8293 7.2969 44.2777 44.8269 44.8317 43.1916 0.9774 44.7091 45.0827 0.6279 41.8971 43.6231 0.9816 44.2933 43.1998 7.3534 -356.5722 -383.4068
0.8683 0.0525 11.0454 0.7858 29.0293 0.0164 36.2986 0.0055 8.2699 6.4807 7.1580 4.5376 10.7399 5.5736 44.2627 44.8695 44.8798 43.1740 0.9802 44.7031 45.1054 0.6517 41.9145 43.6695 0.9827 44.3069 43.1657 7.1037 -349.5283 -383.1817
1.9606 7.2206 12.2624 0.7895 31.0862 0.0104 33.7076 0.0008 8.0126 6.3934 7.0966 4.5275 11.1048 0.0111 44.2827 44.8547 44.8662 43.1067 0.9824 44.6906 45.0915 0.6151 41.6279 43.6555 0.9907 44.2747 43.5302 7.4399 -343.7570 -384.5934
1.6596 3.1323 11.8781 0.7941 29.0615 0.0068 37.8786 0.0009 8.2299 6.5035 7.1302 4.5360 10.9715 0.6116 44.2474 44.8570 44.8608 43.2177 0.9776 44.6839 45.0901 0.6306 41.9923 43.6525 0.9786 44.2680 42.9990 6.8590 -343.9009 -381.9163
1.7303 10.7215 12.5696 0.7894 30.6976 0.0097 24.9399 0.0010 8.0150 6.3595 7.0557 4.5154 10.9715 0.6116 44.3102 44.8561 44.8562 43.2213 0.9773 44.6524 45.0774 0.5876 41.9312 43.6492 0.9812 44.2438 43.2727 7.9263 -348.6452 -381.8839
1.9764 6.6786 11.1413 0.7909 30.4120 0.0135 16.2095 0.0007 7.9882 6.4006 7.0435 4.5242 10.9756 0.6175 44.3046 44.8485 44.8573 43.1173 0.9818 44.6924 45.0885 0.6041 41.6850 43.6474 0.9892 44.2765 43.0934 7.8234 -357.7301 -383.1859
1.8610 12.3211 11.5494 0.7909 27.6595 0.0076 26.6681 0.0001 7.9971 6.5427 7.0911 4.5261 10.9526 2.1099 44.2726 44.8452 44.8457 43.1754 0.9791 44.6760 45.0798 0.6126 41.7904 43.6386 0.9860 44.2601 43.0298 7.2689 -349.4787 -381.9159
1.9753 2.5726 11.2398 0.7379 26.4837 0.0056 32.4964 0.0000 8.1224 6.6694 7.0961 4.5374 10.8769 7.0487 44.2107 44.8314 44.8316 43.1956 0.9774 44.6709 45.0694 0.6432 41.9466 43.6245 0.9794 44.2550 43.0585 6.3022 -344.7899 -384.1745
1.6179 4.0100 12.6398 0.7731 32.0435 0.0044 32.7066 0.0001 8.0882 6.3117 7.0750 4.5229 11.1226 0.0000 44.2479 44.8444 44.8473 43.2417 0.9756 44.6894 45.0847 0.6333 42.0334 43.6393 0.9758 44.2735 42.9470 6.8667 -347.3940 -381.8433
1.6500 3.8206 11.5317 0.7861 25.5933 0.0062 22.9188 0.0009 8.0204 6.6922 7.0586 4.5205 11.0944 0.8117 44.2538 44.8589 44.8668 43.2123 0.9779 44.6502 45.0785 0.6175 41.9532 43.6572 0.9806 44.2417 43.0816 6.9600 -344.1451 -383.8085
