# metal tau age EBVgal Tdust fracPAH incl EBVbbb GA SB TO BB logMstar SFR_opt LIR(8-1000) Lbb(0.1-1) Lbbdered(0.1-1) Lga(01-1) AGNfrac(0.1-1) Ltor(1-30) LAGN(0.1-30) AGNfrac(8-1000) Lgal(0.4-0.5) Lbbb(0.4-0.5) AGNfrac(0.4-0.5) Ltor(6) Lsb(1-30) SFR_IR log_like logz
0.7959 6.8197 12.1195 0.5041 32.9655 0.0030 4.5943 0.0598 7.6092 5.9209 6.5904 4.1701 11.4290 53.3915 45.2206 45.5188 45.6992 44.3719 0.9334 45.4496 45.7999 0.5082 43.3860 44.4285 0.9169 45.0295 44.1879 64.4808 -279.5842 -314.2287
0.7606 12.5713 12.2053 0.6604 30.8628 0.0029 5.3165 0.0539 7.6344 6.0932 6.5835 4.1946 10.4001 1349.2218 45.2415 45.5041 45.6893 44.3284 0.9374 45.4525 45.7933 0.4978 43.3179 44.4167 0.9262 45.0325 44.1520 67.6542 -282.8612 -313.2307
1.2778 11.4543 8.8395 0.5550 31.4432 0.0148 12.2963 0.0323 6.9557 6.0697 6.5922 4.1104 10.4001 1349.2218 45.1833 45.5091 45.6654 44.3777 0.9312 45.4643 45.8006 0.5441 43.3106 44.4038 0.9253 45.0484 44.1893 59.1760 -290.6521 -315.1017
0.9504 7.1891 9.2350 0.7296 31.5496 0.0034 3.0858 0.0361 7.2126 6.0510 6.5690 4.1388 11.5055 32.4952 45.2427 45.4840 45.6472 44.7738 0.8369 45.4757 45.7929 0.5256 43.8860 44.3830 0.7585 45.0671 44.1048 67.8408 -279.8640 -319.1265
1.3533 13.0710 11.2495 0.4527 28.2878 0.0205 20.5631 0.0651 7.3974 6.1856 6.6441 4.2090 10.8063 333.1872 45.2593 45.5096 45.6145 44.5314 0.9048 45.4802 45.8071 0.5036 43.5577 44.3716 0.8669 45.0602 44.5204 70.4833 -278.3677 -313.6330
1.9187 3.0221 12.2177 0.3532 32.0006 0.0374 0.2529 0.0424 7.6176 6.0384 6.5900 4.1584 10.1300 531.5407 45.2249 45.5043 45.6361 44.4553 0.9180 45.4762 45.8030 0.5270 43.5164 44.3835 0.8805 45.0603 44.0809 65.1239 -291.2662 -313.8847
1.9551 0.9067 8.5981 0.7744 32.2423 0.0017 17.5256 0.0741 6.8866 6.0031 6.6122 4.2289 10.8449 160.5565 45.2436 45.4919 45.7067 44.3653 0.9305 45.4331 45.7786 0.4915 43.4071 44.4226 0.9120 45.0172 44.1386 67.9945 -285.1225 -313.1593
1.3686 6.7336 9.5401 0.7124 31.9342 0.0342 6.5092 0.0524 7.3397 6.0273 6.5810 4.1749 11.6246 24.7143 45.3292 45.4977 45.6697 44.5146 0.9058 45.5068 45.8153 0.4786 43.6166 44.4021 0.8592 45.0868 44.2102 82.8007 -278.8293 -313.1353
1.3786 5.8881 7.6224 0.6725 31.9383 0.0028 0.1791 0.0405 6.3808 6.0386 6.5883 4.1405 11.4473 81.7394 45.2479 45.5343 45.7124 44.3684 0.9361 45.4719 45.8184 0.5053 43.4425 44.4426 0.9091 45.0519 44.0586 68.6669 -288.1526 -313.3794
0.8868 3.1200 7.6977 0.6802 32.1353 0.0025 12.4670 0.0387 6.4335 6.0166 6.6093 4.1230 10.1716 805.1680 45.2607 45.4844 45.7029 44.4580 0.9140 45.4378 45.7768 0.4764 43.4625 44.4174 0.9001 45.0176 44.1105 70.7204 -287.3072 -313.5324
1.6517 5.5833 9.4065 0.6667 31.7163 0.0008 14.4283 0.0519 7.2203 6.0377 6.5928 4.1808 11.0479 93.0185 45.2813 45.5506 45.7136 44.2723 0.9499 45.4553 45.8197 0.4826 43.2229 44.4494 0.9440 45.0394 44.1217 74.1598 -291.9996 -313.7271
1.3152 1.2142 8.9597 0.7820 31.4653 0.0004 12.7168 0.0474 7.1244 6.0468 6.5864 4.1650 11.1741 93.6579 45.2102 45.4872 45.5549 44.8819 0.8012 45.4617 45.7857 0.5211 43.9798 44.3251 0.6889 45.0417 44.0159 62.9624 -284.6825 -318.1332
0.8173 10.5700 12.0207 0.6978 31.7015 0.0242 14.4546 0.0605 7.4761 6.0264 6.6064 4.2258 10.9530 220.3395 45.2447 45.4937 45.6452 44.4860 0.9105 45.4680 45.7940 0.5030 43.5596 44.3853 0.8700 45.0478 44.2968 68.1627 -284.3693 -314.4167
0.4977 3.6141 12.2081 0.7747 32.6443 0.0338 8.9743 0.0472 7.7246 6.0329 6.5336 4.2108 11.2821 56.1722 45.1904 45.5233 45.6381 44.4788 0.9172 45.4081 45.7827 0.5017 43.4792 44.3917 0.8910 44.9881 44.3826 60.1447 -280.0590 -315.0955
1.8641 11.9359 11.8241 0.3879 31.7383 0.0157 5.1433 0.0352 7.5242 6.0227 6.5926 4.1230 10.9037 271.4570 45.2246 45.5315 45.6579 44.4132 0.9292 45.4733 45.8162 0.5195 43.4338 44.4073 0.9039 45.0533 44.1448 65.0812 -281.9869 -313.1494
0.6032 13.0415 12.0699 0.6047 31.9522 0.0122 3.9433 0.0491 7.5423 6.0430 6.5975 4.1705 11.0838 155.5151 45.2998 45.5307 45.7013 44.3319 0.9405 45.4457 45.8045 0.4604 43.3066 44.4343 0.9306 45.0256 44.4022 77.3769 -285.2414 -313.2408
1.0620 11.8813 11.4441 0.5498 31.4488 0.0044 8.8706 0.0341 7.5327 6.0548 6.5817 4.1440 11.6019 2.6115 45.2423 45.5213 45.7007 44.3582 0.9357 45.4688 45.8099 0.5067 43.3325 44.4303 0.9261 45.0488 44.0688 67.7922 -279.9250 -313.4493
1.5495 0.8682 8.4473 0.5284 31.1903 0.0127 2.3339 0.0446 6.6656 6.0013 6.6115 4.1718 10.1598 1557.2663 45.2337 45.5245 45.6773 44.4102 0.9286 45.4832 45.8176 0.5200 43.4301 44.4169 0.9066 45.0632 44.0232 66.4497 -283.0777 -313.1500
1.3692 1.3269 10.3489 0.3853 32.2442 0.0056 2.6143 0.0450 7.7524 5.9508 6.5863 4.1616 10.1300 531.5407 45.2394 45.5221 45.7012 44.3502 0.9369 45.4579 45.8054 0.5021 43.3580 44.4310 0.9221 45.0379 44.2067 67.3366 -277.7702 -313.1463
1.9356 0.7063 8.3481 0.6408 31.5826 0.0013 10.5839 0.0477 6.7457 6.0738 6.5870 4.1496 11.6323 25.2901 45.2573 45.5022 45.6715 44.3871 0.9287 45.4248 45.7793 0.4789 43.4099 44.4049 0.9081 45.0090 44.1441 70.1686 -280.6526 -315.1122
