logz logzerr logvol nlive logl logwt insert_order
-1.996060563660337891e+12 2.567630135005678711e+11 -3.749999999999999861e-02 4.000000000000000000e+02 -1.839243880671976807e+12 -1.839243880678007080e+12 1.479999999999999982e+00
-1.839243880678007080e+12 2.171330956538647461e+11 -4.000000000000000083e-02 4.000000000000000000e+02 -1.732985988455239014e+12 -1.732985988461271729e+12 1.304999999999999938e+00
-1.732985988461271729e+12 5.238584732826321411e+10 -4.250000000000000305e-02 4.000000000000000000e+02 -1.631607564323513916e+12 -1.631607564329549072e+12 1.959999999999999964e+00
-1.631607564329549072e+12 9.310854972601783752e+10 -4.500000000000000527e-02 4.000000000000000000e+02 -1.032202277202505493e+12 -1.032202277208543213e+12 1.995000000000000107e+00
-1.032202277208543213e+12 3.213010898048970337e+11 -4.750000000000000749e-02 4.000000000000000000e+02 -5.996081385967628174e+11 -5.996081386028029785e+11 1.784999999999999920e+00
-5.996081386028029785e+11 5.133498173580299683e+11 -5.000000000000000971e-02 4.000000000000000000e+02 -4.793485712100594482e+11 -4.793485712161021729e+11 8.050000000000000488e-01
-4.793485712161021729e+11 5.556522370018204346e+11 -5.250000000000001193e-02 4.000000000000000000e+02 -2.622244577916731873e+11 -2.622244577977184143e+11 1.700000000000000122e-01
-2.622244577977184143e+11 5.850198958228947754e+11 -5.500000000000001416e-02 4.000000000000000000e+02 -2.500265071278345642e+11 -2.500265071338822937e+11 2.349999999999999867e-01
-2.500265071338822937e+11 6.292971514487250519e+10 -5.750000000000001638e-02 4.000000000000000000e+02 -2.274921601152720032e+11 -2.274921601213222046e+11 5.749999999999999556e-01
-2.274921601213222046e+11 1.405473618520273018e+10 -6.000000000000001860e-02 4.000000000000000000e+02 -1.298589156638778229e+11 -1.298589156699305420e+11 1.584999999999999964e+00
-1.298589156699305420e+11 4.881662222542528534e+10 -6.250000000000001388e-02 4.000000000000000000e+02 -1.271383449512615051e+11 -1.271383449573167267e+11 6.199999999999999956e-01
-1.271383449573167267e+11 3.721014247700242615e+10 -6.500000000000001610e-02 4.000000000000000000e+02 -8.992165124483259583e+10 -8.992165125089030457e+10 7.349999999999999867e-01
-8.992165125089030457e+10 4.964302661421276093e+10 -6.750000000000001832e-02 4.000000000000000000e+02 -6.539475929654705811e+10 -6.539475930260726929e+10 9.599999999999999645e-01
-6.539475930260726929e+10 2.563356806745841217e+10 -7.000000000000002054e-02 4.000000000000000000e+02 -6.536707928228893280e+10 -6.536707928835164642e+10 1.100000000000000089e+00
-6.536707928835164642e+10 1.778485950407903671e+10 -7.250000000000002276e-02 4.000000000000000000e+02 -6.152457943469981384e+10 -6.152457944076502991e+10 1.320000000000000062e+00
-6.152457944076502991e+10 1.900255242722676277e+09 -7.500000000000002498e-02 4.000000000000000000e+02 -4.025905709722783661e+10 -4.025905710329554749e+10 1.479999999999999982e+00
-4.025905710329554749e+10 1.169006501071780205e+10 -7.750000000000002720e-02 4.000000000000000000e+02 -3.486303786474883270e+10 -3.486303787081904602e+10 9.300000000000000488e-01
-3.486303787081904602e+10 1.232682884994309998e+10 -8.000000000000002942e-02 4.000000000000000000e+02 -3.238510587894245911e+10 -3.238510588501517487e+10 3.599999999999999867e-01
-3.238510588501517487e+10 1.197879528362594986e+10 -8.250000000000003164e-02 4.000000000000000000e+02 -1.706793549501421738e+10 -1.706793550108943176e+10 7.650000000000000133e-01
-1.706793550108943176e+10 1.344831664594165039e+10 -8.500000000000003386e-02 4.000000000000000000e+02 -1.342338846921193695e+10 -1.342338847528965187e+10 1.725000000000000089e+00
-1.342338847528965187e+10 8.728423161356569290e+09 -8.750000000000003608e-02 4.000000000000000000e+02 -1.330327134752257347e+10 -1.330327135360278702e+10 2.099999999999999922e-01
-1.330327135360278702e+10 7.585592505562069893e+09 -9.000000000000003830e-02 4.000000000000000000e+02 -1.131296596087184715e+10 -1.131296596695456123e+10 1.945000000000000062e+00
-1.131296596695456123e+10 5.500913486432167292e+08 -9.250000000000004052e-02 4.000000000000000000e+02 -9.330435966111030579e+09 -9.330435972196245193e+09 8.750000000000000000e-01
-9.330435972196245193e+09 9.774004687923104763e+08 -9.500000000000004274e-02 4.000000000000000000e+02 -8.586401975883835793e+09 -8.586401981971549988e+09 1.395000000000000018e+00
-8.586401981971549988e+09 1.085731644145620108e+09 -9.750000000000004496e-02 4.000000000000000000e+02 -5.722478401959676743e+09 -5.722478408049891472e+09 3.449999999999999734e-01
-5.722478408049891472e+09 1.670807865480262995e+09 -1.000000000000000472e-01 4.000000000000000000e+02 -4.024386437153159618e+09 -4.024386443245873928e+09 1.760000000000000009e+00
