#Table1
plate,mjd,fiberid,z,h_beta_flux,h_beta_flux_err,i,err_i,dered_i,r,err_r,dered_r
1372,53062,486,0.2288463,323.9026,6.688134,16.93293,0.004889193,16.90558,17.52539,0.005534256,17.48859
846,52407,596,0.1647449,703.1163,10.68857,16.28287,0.004334734,16.24184,16.80586,0.004405306,16.75065
846,52407,119,0.2334552,155.7205,5.645632,17.69164,0.007600298,17.65136,18.18173,0.00767523,18.12753
2614,54481,350,0.2393598,370.0913,6.064452,17.24088,0.006534297,17.19873,17.58044,0.006224379,17.52372
2603,54479,443,0.1182318,1080.492,13.24772,15.81829,0.003855061,15.77875,16.33865,0.003863369,16.28543
2242,54153,588,0.237003,126.2934,4.715852,17.02379,0.006454393,17.00459,17.53791,0.006300039,17.51207
1771,53498,353,0.2522766,81.94311,4.004007,17.71333,0.007330701,17.68001,17.96302,0.006849077,17.91818
1794,54504,190,0.2318723,462.8033,7.349785,17.33913,0.006124412,17.28533,17.64245,0.005978053,17.57006
1793,53883,280,0.2743539,223.0222,6.030725,17.45624,0.006556276,17.41882,17.63814,0.006078497,17.58779
957,52398,520,0.2399261,118.7445,4.30922,17.76576,0.007430124,17.74659,18.21867,0.007860638,18.19288
849,52439,300,0.1839849,300.9669,7.756541,16.51096,0.004228365,16.46076,17.03023,0.004566154,16.96268
850,52338,234,0.2957134,245.6323,5.741287,18.05928,0.008390971,18.01398,18.11294,0.007160247,18.05197
525,52295,329,0.2657584,46.96118,4.258937,18.25404,0.01144211,18.20408,18.48235,0.009662395,18.41512
337,51997,30,0.2955231,126.67,4.911716,17.82075,0.008932199,17.78432,17.92163,0.007397732,17.87262
1984,53433,609,0.178252,448.1307,8.447029,17.30771,0.006076381,17.27254,17.73207,0.006255825,17.68475
1789,54259,190,0.1923565,1144.884,11.90476,16.56198,0.004375817,16.52897,16.8905,0.004294688,16.84609
2650,54505,207,0.2825699,152.3747,4.429342,18.52513,0.01077865,18.46879,18.636,0.009108026,18.56018
