#Table1
plate,mjd,fiberid,z,h_beta_flux,h_beta_flux_err,i,err_i,dered_i,r,err_r,dered_r
528,52022,522,0.1922287,82.83208,2.888342,16.80661,0.005673035,16.76447,17.32506,0.005900406,17.26835
2110,53467,440,0.2396989,128.4532,6.381586,17.5184,0.006302428,17.50089,17.82666,0.006200843,17.8031
2101,53858,118,0.2842707,81.6624,3.849544,17.91851,0.008250359,17.90299,18.15815,0.007406839,18.13727
910,52377,167,0.1839719,65.9139,4.524646,16.21024,0.004470974,16.14761,16.72941,0.004795258,16.64513
785,52339,46,0.2926344,200.5956,4.485605,18.3767,0.01092205,18.35352,18.47652,0.008672201,18.44534
852,52375,349,0.2424925,524.1245,8.542035,16.99216,0.005656997,16.94405,17.24513,0.005453916,17.18039
526,52312,537,0.2688896,1217.897,15.05764,16.41035,0.004427609,16.36993,16.38262,0.003983918,16.32822
526,52312,457,0.2969392,478.4542,7.823318,17.52402,0.006796224,17.48162,17.4996,0.005575778,17.44254
2604,54484,232,0.2082254,504.2233,7.437836,17.59141,0.007366617,17.55149,17.99547,0.007337707,17.94175
854,52373,398,0.2657104,1265.397,10.39767,16.84807,0.004611445,16.79822,16.88774,0.004198738,16.82064
298,51955,103,0.2960864,159.7934,6.61277,17.89585,0.007447417,17.85059,17.95049,0.006342089,17.88958
1798,53851,559,0.2746552,86.26176,3.593779,18.15259,0.008395275,18.1213,18.2845,0.007920459,18.24239
1460,53138,197,0.2694953,139.8595,4.873445,17.90208,0.008942337,17.87504,18.24181,0.008828053,18.20542
2651,54507,448,0.2577475,41.14272,3.222587,17.91766,0.008408115,17.89734,18.32061,0.008128644,18.29327
1041,52724,285,0.2799852,334.2975,5.967085,18.22314,0.008684154,18.19924,18.26194,0.007418175,18.22978
852,52375,625,0.1739949,100.2148,5.465154,16.88752,0.005527393,16.83473,17.35732,0.005658199,17.28627
2607,54184,477,0.2086255,695.1603,7.267591,16.9708,0.00520429,16.93681,17.25973,0.004867359,17.21399
2110,53467,43,0.2203435,110.4959,4.826092,17.11238,0.005786271,17.09204,17.51002,0.005772308,17.48266
1802,53885,491,0.2478844,49.07101,3.727228,16.82719,0.006026477,16.7845,17.24279,0.006585957,17.18534
1700,53502,546,0.2733904,156.1231,5.531788,17.4911,0.007563572,17.43461,17.73243,0.006696308,17.65641
959,52411,192,0.1921499,199.6283,7.530854,16.84447,0.004981597,16.82813,17.31251,0.005061402,17.29053
910,52377,259,0.1854109,159.8737,6.258893,17.26931,0.006092663,17.20305,17.73293,0.006311673,17.64376
2604,54484,598,0.1927217,113.8943,6.144993,16.9578,0.005981216,16.91041,17.41982,0.006249375,17.35605
2653,54230,372,0.2904827,170.442,4.320465,18.2731,0.009464587,18.2424,18.43844,0.008183324,18.39713
1802,53885,192,0.1909368,529.3924,7.884102,17.71971,0.006899293,17.67132,17.98526,0.006902643,17.92014
854,52373,335,0.2745452,239.9653,5.078113,17.92617,0.007692328,17.88338,17.8317,0.005977765,17.77413
1667,53430,543,0.2508286,15.71955,3.655772,16.64113,0.005293016,16.61954,17.18333,0.006085556,17.15427
1699,53148,331,0.2017202,287.0493,8.32078,17.05607,0.005818025,17.01536,17.46827,0.005824817,17.4135
1798,53851,410,0.2800465,48.78432,2.442628,17.88181,0.00887427,17.84806,18.23345,0.008674981,18.18803
2606,54154,581,0.2645762,292.094,9.653852,16.93706,0.004928526,16.89854,16.96644,0.00433436,16.91461
2641,54230,284,0.1882003,153.3029,5.612635,16.64964,0.005203258,16.59103,17.01093,0.00502999,16.93205
1322,52791,389,0.2466999,128.5294,4.945568,17.5239,0.006415851,17.51274,17.79049,0.006268596,17.77547
784,52327,253,0.2512348,135.408,4.675119,17.74766,0.009002452,17.72146,18.06105,0.007880644,18.02579
1773,53112,333,0.1649692,929.8559,9.956635,16.7101,0.004834301,16.66998,17.02524,0.004534266,16.97125
1375,53084,87,0.1966696,973.7367,10.59414,17.58912,0.006307696,17.56468,17.87127,0.00618035,17.83838
2607,54184,178,0.2763289,155.4419,3.410408,17.59754,0.008142054,17.56592,17.66461,0.006791173,17.62206
1669,53433,240,0.2349069,183.8473,4.522462,17.29989,0.006138104,17.27322,17.68643,0.006318213,17.65054
527,52342,33,0.2158184,90.17809,4.99546,17.09902,0.006386467,17.05706,17.63314,0.006601539,17.57667
