metal tau age EBVgal Tdust fracPAH incl EBVbbb GA SB TO BB
1.504362864726793925e+00 5.473360316879157139e+00 1.044593736774645265e+01 7.777822743387380333e-01 2.954219566763289961e+01 9.896443804285977655e-03 2.342056926088667979e+01 9.705159723418586414e-04 8.062901335783269730e+00 6.421736888422636014e+00 7.061738738174788921e+00 4.514571214606213800e+00
1.982433207609245462e+00 1.634162463774583296e+00 1.233444485535775570e+01 7.597372218394258248e-01 2.788553688914384310e+01 3.899121140421184847e-03 2.594386144014489659e+01 8.313449938473024435e-04 8.228256774028235299e+00 6.534683535938206944e+00 7.099103774165516967e+00 4.529773227791933365e+00
1.770983364328468035e+00 1.206394957970544013e+01 1.042211205256247730e+01 7.788872952760043100e-01 2.697330608597513546e+01 1.052682034780202469e-03 3.300991579962590805e+01 9.087067109290564116e-04 7.975151334685765647e+00 6.607352790145888832e+00 7.089984498595278239e+00 4.512338946118772398e+00
1.508061695920415612e+00 1.110548074270194263e+01 1.119914970184949432e+01 7.042288767518305459e-01 2.774086555182211811e+01 2.986810702123066184e-03 2.424475849223202673e+01 9.447996152638152290e-04 7.903233277950189262e+00 6.554343024860994404e+00 7.060882302852355963e+00 4.503134826390109424e+00
1.614643563969256679e+00 7.172981980208893660e+00 1.257059027558732822e+01 7.578611214703468990e-01 2.989174613706725836e+01 2.006358895128614733e-02 4.283251591587158202e+01 6.552867728476159963e-05 8.048329103582755550e+00 6.472787212499998333e+00 7.123488016879257145e+00 4.503190288398190688e+00
1.462088297763459499e+00 3.617632843304243728e+00 1.161505380445873925e+01 7.893731047583757432e-01 3.198700592772206619e+01 2.245333210988334494e-02 1.656031386386704085e+01 1.649010811340504996e-03 8.115518393681831810e+00 6.320696387861357124e+00 7.047625836875031524e+00 4.525014241555274097e+00
1.662062980558603575e+00 4.962636295993974045e+00 1.204469565487942262e+01 7.567443091134743449e-01 2.897289763293932197e+01 1.597117631758323609e-04 2.072786052946316815e+01 3.394382428946061004e-03 7.985274160852256387e+00 6.464947079409355979e+00 7.064348257399192477e+00 4.517749488981861461e+00
1.611002594451999670e+00 1.147155307581692485e+00 1.254473388063629891e+01 6.047558393108284358e-01 2.861859802138619102e+01 3.132778172315148820e-03 2.406334181882447965e+01 5.369008051752841796e-04 8.122016375182564474e+00 6.499586405369083053e+00 7.052218571596252872e+00 4.528091709972517975e+00
1.613178741851289066e+00 2.286918725486501991e+00 1.065843174092366752e+01 7.429656886474407251e-01 3.260489540747362014e+01 2.756924343108865545e-03 1.214831593871592474e+01 4.579728596166651343e-04 8.218733463414370277e+00 6.274279136956696590e+00 7.036000775460028223e+00 4.524040468114087332e+00
1.784890150422824506e+00 1.935390252138708966e+00 1.029972273504527536e+01 6.910328854727350034e-01 2.867782392950715575e+01 1.463450727799218065e-03 3.056135254645369059e+01 1.245923218881039558e-04 8.158705801684334347e+00 6.468367258314490442e+00 7.073063768495892134e+00 4.533836680032333533e+00
1.618256509534683030e+00 6.943825612909117595e+00 1.224610420137918787e+01 7.794872788019394649e-01 3.040868718976593499e+01 1.645351552408987408e-02 2.804882750157224436e+01 2.882555970034986551e-03 8.045712674067704739e+00 6.411370790475139358e+00 7.047421268616652412e+00 4.518705479066317920e+00
