logz logzerr logvol nlive logl logwt insert_order
-6.393923939458327740e+07 5.140668382863175124e+06 -1.975000000000001199e-01 4.000000000000000000e+02 -6.279441960192946345e+07 -6.279442579214374721e+07 1.400000000000000133e-01
-6.279442579214374721e+07 1.445880558407600736e+06 -2.000000000000001221e-01 4.000000000000000000e+02 -5.071140505391493440e+07 -5.071141124662922323e+07 7.199999999999999734e-01
-5.071141124662922323e+07 5.232099167986537330e+06 -2.025000000000001243e-01 4.000000000000000000e+02 -5.037759306352293491e+07 -5.037759925873722136e+07 1.790000000000000036e+00
-5.037759925873722136e+07 1.445454401556545345e+05 -2.050000000000001266e-01 4.000000000000000000e+02 -4.945095550201512128e+07 -4.945096169972940534e+07 2.750000000000000222e-01
-4.945096169972940534e+07 4.905695991406941903e+05 -2.075000000000001288e-01 4.000000000000000000e+02 -4.309751445304733515e+07 -4.309752065326162428e+07 1.905000000000000027e+00
-4.309752065326162428e+07 3.541276150360826869e+06 -2.100000000000001310e-01 4.000000000000000000e+02 -4.289420232127764076e+07 -4.289420852399192750e+07 1.090000000000000080e+00
-4.289420852399192750e+07 8.803687570170997060e+04 -2.125000000000001332e-01 4.000000000000000000e+02 -4.090042985411436111e+07 -4.090043605932864547e+07 1.695000000000000062e+00
-4.090043605932864547e+07 7.430355546552388696e+05 -2.150000000000001354e-01 4.000000000000000000e+02 -4.084808360061755031e+07 -4.084808980833183974e+07 1.989999999999999991e+00
-4.084808980833183974e+07 5.632190994382908102e+05 -2.175000000000001377e-01 4.000000000000000000e+02 -3.815285350010772794e+07 -3.815285971032201499e+07 3.850000000000000089e-01
-3.815285971032201499e+07 1.600387571994385216e+06 -2.200000000000001399e-01 4.000000000000000000e+02 -3.812252770440430194e+07 -3.812253391711858660e+07 1.465000000000000080e+00
-3.812253391711858660e+07 1.020007533386590774e+06 -2.225000000000001421e-01 4.000000000000000000e+02 -3.635756215660101920e+07 -3.635756837181530893e+07 1.139999999999999902e+00
-3.635756837181530893e+07 1.336569115348106716e+06 -2.250000000000001443e-01 4.000000000000000000e+02 -3.628849867844405770e+07 -3.628850489615834504e+07 1.000000000000000021e-02
-3.628850489615834504e+07 5.040735591558028245e+05 -2.275000000000001465e-01 4.000000000000000000e+02 -3.162725887788162008e+07 -3.162726509809590504e+07 4.550000000000000155e-01
-3.162726509809590504e+07 2.463625269001948647e+06 -2.300000000000001488e-01 4.000000000000000000e+02 -2.931436052590960264e+07 -2.931436674862388894e+07 1.570000000000000062e+00
-2.931436674862388894e+07 2.465911574053352233e+06 -2.325000000000001510e-01 4.000000000000000000e+02 -2.573644043932193518e+07 -2.573644666453622282e+07 3.950000000000000178e-01
-2.573644666453622282e+07 1.549285035405340604e+06 -2.350000000000001532e-01 4.000000000000000000e+02 -2.394457936120731756e+07 -2.394458558892160282e+07 1.550000000000000044e+00
-2.394458558892160282e+07 1.978935938903495902e+06 -2.375000000000001554e-01 4.000000000000000000e+02 -2.348219483332756162e+07 -2.348220106354184821e+07 1.610000000000000098e+00
-2.348220106354184821e+07 1.723202521162671328e+05 -2.400000000000001577e-01 4.000000000000000000e+02 -2.250540342417981476e+07 -2.250540965689410269e+07 1.549999999999999989e-01
-2.250540965689410269e+07 5.408322656837166287e+05 -2.425000000000001599e-01 4.000000000000000000e+02 -2.210577924000282213e+07 -2.210578547521710768e+07 6.300000000000000044e-01
-2.210578547521710768e+07 5.099483411976766656e+05 -2.450000000000001621e-01 4.000000000000000000e+02 -2.105231520768900588e+07 -2.105232144540329278e+07 1.995000000000000107e+00
-2.105232144540329278e+07 7.505176734913374530e+05 -2.475000000000001643e-01 4.000000000000000000e+02 -1.809930619276602566e+07 -1.809931243298031390e+07 1.800000000000000044e+00
-1.809931243298031390e+07 1.278690524684380041e+06 -2.500000000000001665e-01 4.000000000000000000e+02 -1.784206660353720933e+07 -1.784207284625149518e+07 1.084999999999999964e+00
-1.784207284625149518e+07 9.586711657645094965e+04 -2.525000000000001688e-01 4.000000000000000000e+02 -1.780495481511254236e+07 -1.780496106032682955e+07 1.425000000000000044e+00
-1.780496106032682955e+07 8.066168454421480419e+04 -2.550000000000001710e-01 4.000000000000000000e+02 -1.777312286865737289e+07 -1.777312911637166142e+07 1.000000000000000021e-02
-1.777312911637166142e+07 2.159446622034551183e+04 -2.575000000000001732e-01 4.000000000000000000e+02 -1.739828835348159447e+07 -1.739829460369588062e+07 1.120000000000000107e+00
-1.739829460369588062e+07 1.928283526869726775e+05 -2.600000000000001754e-01 4.000000000000000000e+02 -1.701940292311338708e+07 -1.701940917582767457e+07 5.600000000000000533e-01
-1.701940917582767457e+07 3.298352106009552372e+05 -2.625000000000001776e-01 4.000000000000000000e+02 -1.561174241955441423e+07 -1.561174867476870120e+07 1.060000000000000053e+00
