source	z	log_mbh	log_edd_ratio	app_mag_r	gal_ext_r
3C 48	0.369	8.8	-0.30	15.555	0.095
3C 186	1.063	8.9	-0.30	17.200	0.109
3C 213.1	0.194	9.1	-0.42	18.390	0.065
3C 286	0.849	8.5	-0.09	16.500	0.025
3C 293	0.045	8.0	-1.78	13.410	0.036
3C 309.1	0.905	9.1	-0.45	16.400	0.053
3C 346	0.162	8.8	-2.54	16.730	0.147
PKS 1549-79	0.152	8.0	-0.32	17.330	0.444
PKS 2004-447	0.240	7.6	-0.26	17.674	0.072
B1550+5815	1.320	8.9	-0.65	15.600	0.028
