#Table1
plate,mjd,fiberid,z,h_beta_flux,h_beta_flux_err,i,err_i,dered_i,r,err_r,dered_r
1046,52460,125,0.2540441,513.0931,6.355764,17.9667,0.008216152,17.92925,18.15079,0.007487658,18.1004
1046,52460,54,0.2485362,14.08756,3.388104,17.22886,0.007425175,17.17361,17.75764,0.008051025,17.68329
2146,54230,204,0.2483222,1012.94,10.42747,16.96653,0.0055355,16.92283,17.08775,0.005028327,17.02894
1699,53148,331,0.2017202,287.0493,8.32078,17.05607,0.005818025,17.01536,17.46827,0.005824817,17.4135
1700,53502,546,0.2733904,156.1231,5.531788,17.4911,0.007563572,17.43461,17.73243,0.006696308,17.65641
1701,53142,131,0.2909273,148.6421,5.18586,17.39568,0.007144187,17.33094,17.57148,0.006537543,17.48436
1701,53142,200,0.1263564,1036.224,12.1513,16.34585,0.004826488,16.30237,16.91298,0.004899694,16.85447
1702,53144,597,0.2667643,173.2774,5.645074,18.23008,0.009936683,18.19311,18.37495,0.008326816,18.3252
1330,52822,568,0.2367526,152.3552,6.407243,17.14457,0.006164833,17.11724,17.56123,0.005908938,17.52445
1649,53149,208,0.2517488,520.8255,7.001915,18.04836,0.008356473,18.01113,18.20441,0.007437886,18.1543
1650,53174,545,0.2739726,2162.26,17.30399,16.6418,0.005389561,16.61069,16.52857,0.004644385,16.48671
2743,54259,26,0.2151691,255.7214,6.103804,17.62058,0.006794579,17.5897,18.10839,0.007215639,18.06683
2743,54259,576,0.1502831,531.9232,8.941378,16.53401,0.005061976,16.48307,17.03167,0.00507304,16.96313
2743,54259,581,0.2196604,409.3099,5.136992,17.85793,0.007831846,17.82554,18.19783,0.00774267,18.15425
608,52081,569,0.2965274,491.3932,9.129649,17.61765,0.007042181,17.60255,17.66278,0.005828504,17.64246
611,52055,341,0.2803703,358.8935,5.369879,18.10015,0.009528297,18.08176,18.11599,0.007714625,18.09123
611,52055,201,0.2826588,233.7183,5.026857,18.2261,0.009580632,18.20274,18.28145,0.00801926,18.25002
612,52079,519,0.2042243,151.8444,6.014632,16.78832,0.005071126,16.76273,17.20418,0.00504177,17.16974
613,52345,99,0.07809116,5256.383,34.16758,14.93353,0.003429443,14.91607,15.46172,0.003605333,15.43822
2237,53828,448,0.235612,43.81033,4.170009,17.12214,0.006412855,17.09939,17.62534,0.006526904,17.59471
1975,53734,180,0.2404729,51.91676,3.743659,17.34988,0.00650673,17.32498,17.84088,0.006957631,17.80737
1396,53112,175,0.2737464,469.2579,5.533457,17.97159,0.007724593,17.94884,18.00955,0.006580566,17.97894
1397,53119,399,0.2688065,149.0531,4.698444,17.70542,0.007252971,17.68039,17.95485,0.006706171,17.92116
1397,53119,190,0.2679094,2752.637,24.59304,16.00404,0.005814788,15.98078,15.80681,0.005108821,15.77551
1398,53146,482,0.2308415,598.3192,8.191277,17.15807,0.006219443,17.1398,17.36028,0.005723886,17.33568
1718,53850,79,0.2820169,452.3181,7.254642,17.1082,0.005568606,17.04255,17.18426,0.005207472,17.09592
1718,53850,490,0.2848544,245.4682,5.283834,18.06642,0.008046119,17.98163,18.06179,0.006969492,17.94769
2778,54539,572,0.2681316,163.4199,4.309058,18.20577,0.009308129,18.14723,18.35709,0.008231672,18.27831
2776,54554,495,0.2991473,89.68754,3.647449,17.87836,0.008368166,17.81091,18.02358,0.007061953,17.93281
1993,53762,142,0.2207066,206.4684,5.842134,16.55399,0.004611623,16.54005,17.03426,0.004605482,17.01551
499,51988,243,0.1605999,490.5209,6.620523,16.9262,0.005059813,16.8953,17.22169,0.004814082,17.18011
2661,54505,550,0.1956688,280.6693,5.928154,17.24428,0.006172349,17.22742,17.64877,0.006012616,17.62609
2661,54505,197,0.1883969,331.5082,6.884879,16.86735,0.005586393,16.84516,17.34051,0.005390104,17.31066
2662,54505,445,0.2745785,285.3338,5.42766,17.7052,0.007375254,17.67991,17.76721,0.006203917,17.73318
2662,54505,293,0.2583058,541.0374,10.40839,16.84991,0.0055422,16.81517,16.91784,0.00499358,16.87111
2662,54505,172,0.2493957,312.7607,4.712443,18.20341,0.008619403,18.17319,18.43607,0.008178562,18.3954
2664,54524,39,0.2226322,1267.704,8.866818,17.13243,0.00591198,17.11045,17.40758,0.005667748,17.378
1290,52734,136,0.1898469,484.8739,9.266313,17.54635,0.006285011,17.51839,17.88005,0.00611835,17.84241
1289,52734,449,0.2653963,82.51402,4.74318,17.49374,0.007040768,17.4649,17.82646,0.006398397,17.78765
1290,52734,264,0.2627973,384.6723,6.806991,17.6799,0.007465938,17.65148,17.80923,0.006518923,17.77098
1162,52668,73,0.230684,143.2007,3.788158,16.53315,0.006523659,16.5047,17.02757,0.006652376,16.98929
1162,52668,141,0.2520696,403.3725,5.533468,18.10893,0.008752748,18.0871,18.1072,0.007354666,18.07781
1165,52703,240,0.2706152,51.12079,5.012973,17.66366,0.007684201,17.63494,17.9355,0.006964139,17.89685
1164,52674,239,0.2096944,210.3706,6.804807,17.59809,0.007161896,17.5722,18.01826,0.007117677,17.98342
1165,52703,486,0.2112526,410.2334,10.32855,17.35176,0.006217354,17.3076,17.64373,0.005873972,17.5843
1164,52674,422,0.2618298,110.1135,5.284736,18.03001,0.008314277,18.00596,18.25972,0.007974089,18.22736
1164,52674,480,0.2814417,241.9292,5.357691,18.25632,0.00907054,18.23106,18.33647,0.008075347,18.30248
1773,53112,333,0.1649692,929.8559,9.956635,16.7101,0.004834301,16.66998,17.02524,0.004534266,16.97125
1776,53858,28,0.2828774,125.221,5.43926,17.73372,0.007111487,17.69349,17.78144,0.006188075,17.72731
1777,53857,612,0.2141182,299.8891,7.105642,17.5271,0.006787253,17.48526,17.88076,0.006567544,17.82447
1774,53759,602,0.231364,266.3202,4.837603,17.89646,0.008248688,17.86147,18.17082,0.007367567,18.12374
1776,53858,612,0.1341881,1311.827,12.83362,16.18871,0.004693839,16.13471,16.48331,0.004673265,16.41066
1778,53883,283,0.2384233,99.04922,5.254499,17.49302,0.006462106,17.45284,17.92129,0.006637816,17.86722
1778,53883,350,0.2591701,173.6967,4.195192,18.36212,0.01003462,18.31963,18.52933,0.008747817,18.47215
1644,53144,349,0.2119145,765.9966,14.39913,17.08868,0.00586759,17.07266,17.39528,0.005618157,17.37372
1645,53172,618,0.2620519,81.72304,4.275988,18.12197,0.009335407,18.10526,18.41114,0.008309253,18.38865
1645,53172,109,0.2961887,49.70665,5.136622,17.85523,0.009139864,17.83088,18.13669,0.008373763,18.10391
340,51990,174,0.1742078,102.635,5.757139,16.99035,0.005592861,16.93781,17.37668,0.005605645,17.30597
341,51690,600,0.2229706,485.5947,6.494969,17.43058,0.006574677,17.36855,17.8173,0.006602156,17.73382
1158,52668,359,0.1626487,261.0046,7.777082,16.45291,0.004548399,16.44128,16.86637,0.004490368,16.85072
1159,52669,65,0.2383302,261.4418,5.819558,17.46563,0.006580968,17.44782,17.89795,0.006587336,17.87397
1789,54259,190,0.1923565,1144.884,11.90476,16.56198,0.004375817,16.52897,16.8905,0.004294688,16.84609
1792,54270,124,0.256806,144.2618,4.516935,17.89374,0.007965198,17.84024,18.19895,0.007836993,18.12697
1790,53876,472,0.2815173,25.76958,2.074352,17.46188,0.008639235,17.42007,17.87916,0.008198027,17.8229
1790,53876,217,0.2401559,37.66515,2.796381,17.68258,0.008783258,17.64013,18.1881,0.00905286,18.13098
1793,53883,280,0.2743539,223.0222,6.030725,17.45624,0.006556276,17.41882,17.63814,0.006078497,17.58779
1794,54504,190,0.2318723,462.8033,7.349785,17.33913,0.006124412,17.28533,17.64245,0.005978053,17.57006
305,51613,550,0.2195398,349.2582,5.15906,17.02431,0.00555992,16.97147,17.55674,0.005847457,17.48563
917,52400,55,0.2814984,70.19965,3.17895,17.97276,0.009363137,17.87054,18.36083,0.01002086,18.22327
1344,52792,487,0.2250107,403.0176,6.460791,17.77931,0.006991976,17.75101,18.13712,0.007105913,18.09904
1346,52822,86,0.2068584,1116.408,13.54816,16.84754,0.004841847,16.82358,17.27435,0.004916811,17.24211
1346,52822,278,0.2318444,245.0868,7.995112,17.22302,0.006144539,17.21347,17.5405,0.0059365,17.52765
